    rank              nation  gold  silver  bronze  total
0      1                cuba    26      15      16     57
1      2              mexico     5       2       2      9
2      3             bahamas     4       6       4     14
3      4         puerto rico     2       4       5     11
4      5  dominican republic     2       3       0      5
5      6            colombia     1       4       2      7
6      7           venezuela     0       2       9     11
7      8            barbados     0       1       0      1
8      8              guyana     0       1       0      1
9      8   us virgin islands     0       1       0      1
10     8             bermuda     0       1       0      1
11    12              panama     0       0       1      1
