                           2005 / 06                         2006 / 07                         2007 / 08                         2008 / 09                         2009 / 10                         2010 / 11                         2011 / 12                         2012 / 13
0               ur he was an amateur                                ur                                69                                67                                ur                                ur                                ur                                78
1                ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments
2                           not held                          not held                          not held                     non - ranking                     non - ranking                     non - ranking                     non - ranking                                lq
3                           not held                          not held                          not held                          not held                          not held                          not held                                lq                                lq
4                           not held                          not held                                qr                                 a                                1r                                wr                                lq                                lq
5                           not held                          not held                          not held                          not held                          not held                          not held                          not held                          not held
6                           not held                          not held                          not held                          not held                          not held                          not held                          not held                                lq
7                                  a                                lq                                lq                                 a                                 a                                 a                                lq                                lq
8                           not held                          not held                          not held                          not held                          not held                                 a                                lq                                lq
9                                  a                                lq                                2r                                 a                                 a                                 a                                lq                                lq
10                                 a                                lq                                rr                                 a                                 a                                 a                                lq                                lq
11                          not held                          not held                          not held                          not held                          not held                               dnq                               dnq                               dnq
12                                wr                                lq                                lq                                2r                                2r                                1r                                lq                                lq
13         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments
14                                 a                                lq                                lq                                 a                                 a                                 a                                 a                                 a
15        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments
16                          not held                          not held                          not held                          not held                          not held                                 a                                 a                                1r
17        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments
18                                 a                                lq                                nr                          not held                          not held                          not held                          not held                          not held
19                                nr                                2r                                lq                                 a                          not held                          not held                          not held                          not held
20  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments
21                          not held                          not held                          not held                                 a                                 a                                sf                                 a                           ranking
