   draw             artist                    song  points  place
0     1  hassing & hassing            come on over      10      6
1     2       simon mathew          all night long      48      1
2     3        amin jensen                 luciano       8      7
3     4         kendra lou  until we 're satisfied      16      4
4     5              unite            tree of life      46      2
5     6     lasse lindorff           hooked on you       6      9
6     7            charlie              den jeg er       0     10
7     8    lars & josefine   sweet memories of you       8      7
8     9         the dreams            la' mig vãre      16      4
9    10         sandee may            spanish soul      42      3
