    round  pick  overall               name          position                  college
0       1     1        1        tommy nobis        linebacker                    texas
1       1    16       16      randy johnson       quarterback                texas a&i
2       2     1       17        nick rassas    defensive back               notre dame
3       2    16       32        jerry jones  offensive tackle            bowling green
4       3     1       33        mike dennis      running back              mississippi
5       3    16       48      phil sheridan     wide receiver               notre dame
6       4     1       49         ken reaves            safety            norfolk state
7       4    16       64      willie asbury      running back               kent state
8       5     1       65        bill wolski      running back               notre dame
9       5    16       80        martin kahn  offensive tackle        north texas state
10      6     1       81      charley casey     wide receiver                  florida
11      7     1       96    william johnson      running back  university of the south
12      8     1      111          bill goss        linebacker                   tulane
13      9     1      126        bob sanders        linebacker        north texas state
14     10     1      141        mike bender             guard                 arkansas
15     11     1      156        steve sloan       quarterback                  alabama
16     12     1      171      ken hollister  offensive tackle                  indiana
17     13     1      186        bob collins  offensive tackle           south carolina
18     14     1      201        steve ecker            kicker             shippensburg
19     15     1      216       tom tolleson     wide receiver                  alabama
20     16     1      231         jim vining             guard                     rice
21     17     1      246  lurley archambeau            center                  florida
22     18     1      261        doug korver            center            northern iowa
23     19     1      276        walt mainer    defensive back                   xavier
24     20     1      291         bob riggle    defensive back               penn state
