    round  pick  overall            name        position            college
0       1     9        9    gerald riggs    running back      arizona state
1       2     9       36     doug rogers   defensive end           stanford
2       3     8       63   stacey bailey   wide receiver     san jose state
3       4    12       95    reggie brown    running back             oregon
4       5    11      122   von mansfield  defensive back          wisconsin
5       6    10      149     mike kelley     quarterback       georgia tech
6       7     9      176    david tolomu    running back             hawaii
7       8     8      203  ricky eberhart  defensive back       morris brown
8       9    12      235      mike horan          punter   long beach state
9      10    11      262  curtis stowers      linebacker  mississippi state
10     11     9      288     jeff keller   wide receiver   washington state
11     12     9      315   dave levenick      linebacker          wisconsin
