    year                             production                    role                     director                                     company
0   2013  rosencrantz and guildenstern are dead              the player                simon philips                      sydney theatre company
1   2013                  cat on a hot tin roof           brick pollitt                  simon stone                          belvoir st theatre
2   2011                                 hamlet                  hamlet               simon phillips                   melbourne theatre company
3   2011                          the wild duck           hjalmar ekdal                  simon stone                          belvoir st theatre
4   2010                              the trial                 josef k               matthew lutton  malthouse theatre / sydney theatre company
5   2010                            richard iii             richard iii               simon phillips                   melbourne theatre company
6   2009                            the promise                   marat                  simon stone                          belvoir st theatre
7   2009                   the war of the roses    prince hal / henry v             benedict andrews                      sydney theatre company
8   2008                              gallipoli  billy hughes / ataturk               nigel jamieson                      sydney theatre company
9   2008                   the serpent 's teeth               sam lewis  pamela rabe and tim maddock                      sydney theatre company
10  2007                              riflemind                     lee       philip seymour hoffman                      sydney theatre company
11  2007                            dead caesar                 cassius                  tamara cook                      sydney theatre company
12  2007                                   paul                  yeshua                 wesley enoch                          belvoir st theatre
13  2005                        shakesperealism                   lewis                  tamara cook                       tamarama rock surfers
14  2004                     this blasted earth       father / scarlett                  leland kean                       tamarama rock surfers
15  2004                         cross sections                   aaron                   chris mead                       tamarama rock surfers
16  2003                   chicks will dig you!                     seb                  tamara cook             belvoir st theatre - downstairs
