           country  men 's race  women 's race  men 's wheelchair  women 's wheelchair  total
0   united kingdom            6              7                 13                   14     40
1            kenya            9              7                  0                    0     16
2           norway            1              6                  0                    0      7
3          ireland            0              1                  2                    3      6
4    united states            2              1                  0                    3      6
5          germany            0              5                  0                    0      5
6           mexico            3              0                  2                    0      5
7         ethiopia            3              1                  0                    0      4
8            italy            0              0                  0                    4      4
9         portugal            3              1                  0                    0      4
10     switzerland            0              0                  3                    1      4
11          canada            0              0                  3                    0      3
12         denmark            1              0                  0                    2      3
13          france            0              0                  3                    0      3
14           japan            2              0                  0                    1      3
15          sweden            0              0                  1                    2      3
16       australia            0              0                  2                    0      2
17         morocco            2              0                  0                    0      2
18          poland            0              2                  0                    0      2
19          russia            1              1                  0                    0      2
20         belgium            0              0                  1                    0      1
21           china            0              1                  0                    0      1
22           spain            1              0                  0                    0      1
