              player                club  league  fa cup  fa trophy  league cup  total
0        paul cavell    redbridge forest      29       1          2           1     33
1      terry robbins      welling united      29       0          1           0     30
2         gary jones       boston united      27       2          1           1     31
3      roy mcdonough   colchester united      26       1          2           0     29
4         simon read    farnborough town      21       9          3           2     35
5        karl thomas       witton albion      21       3          4           1     29
6      steve mcgavin   colchester united      20       2          4           2     28
7       david webley      merthyr tydfil      20       0          0           0     20
8        gary abbott      welling united      19       5          1           0     25
9        ken mckenna          altrincham      19       0          0           1     20
10  malcolm o'connor  northwich victoria      19       0          1           2     22
11      paul randall           bath city      19       3          1           2     25
12        jon graham      kettering town      18       3          0           0     21
13       keith scott   wycombe wanderers      18       0          1           1     20
14      gary bennett   colchester united      16       0          2           0     18
15      richard hill      kettering town      16       1          2           0     19
16    mickey spencer         yeovil town      16       1          4           3     24
17     ceri williams      merthyr tydfil      16       1          1           1     19
