   round              pick           player          position             college
0      1                11  leodis mckelvin        cornerback                troy
1      2                41      james hardy     wide receiver             indiana
2      3                72      chris ellis     defensive end       virginia tech
3      4               114    reggie corner        cornerback               akron
4      4  132 supplemental       derek fine         tight end              kansas
5      5               147      alvin bowen        linebacker          iowa state
6      6               179      xavier omon      running back   nw missouri state
7      7               219   demetrius bell  offensive tackle  northwestern state
8      7               224   stevie johnson     wide receiver            kentucky
9      7  251 supplemental      kennard cox        cornerback          pittsburgh
