    year        winning team          losing team             score                                              site
0   1951    rochester royals      new york knicks           79 - 75        edgerton park arena , rochester , new york
1   1952  minneapolis lakers      new york knicks           82 - 65  minneapolis auditorium , minneapolis , minnesota
2   1954  minneapolis lakers   syracuse nationals           87 - 70  minneapolis auditorium , minneapolis , minnesota
3   1955  syracuse nationals   fort wayne pistons           92 - 91       onandoga war memorial , syracuse , new york
4   1957      boston celtics       st louis hawks  125 - 123 ( ot )            boston garden , boston , massachusetts
5   1960      boston celtics       st louis hawks         122 - 103            boston garden , boston , massachusetts
6   1962      boston celtics   los angeles lakers    110 - 107 (ot)            boston garden , boston , massachusetts
7   1966      boston celtics   los angeles lakers           95 - 93            boston garden , boston , massachusetts
8   1969      boston celtics   los angeles lakers         108 - 106                the forum , inglewood , california
9   1970     new york knicks   los angeles lakers          113 - 99  madison square garden , new york city , new york
10  1974      boston celtics      milwaukee bucks          102 - 87               mecca arena , milwaukee , wisconsin
11  1978  washington bullets  seattle supersonics          105 - 99                   kingdome , seattle , washington
12  1984      boston celtics   los angeles lakers         111 - 102            boston garden , boston , massachusetts
13  1988  los angeles lakers      detroit pistons         108 - 105                the forum , inglewood , california
14  1994     houston rockets      new york knicks           90 - 84                      the summit , houston , texas
15  2005   san antonio spurs      detroit pistons           81 - 74                  sbc center , san antonio , texas
16  2010  los angeles lakers       boston celtics           83 - 79         staples center , los angeles , california
17  2013          miami heat    san antonio spurs           95 - 88         american airlines arena , miami , florida
