                 year  comp   att  comp%  yards  td 's  int 's  rating
0                1993     2     5   40.0     26      0       0    57.0
1                1994   208   363   57.3   2685     46      12    98.5
2                1995    54    90   60.0    574     11       3    95.3
3                1996   286   462   61.9   3690     65      13   110.4
4                1997   241   400   60.3   3331     67       6   120.3
5                1998   295   451   65.4   3571     70       8   121.0
6                2000   269   473   56.9   3454     72       7   111.7
7                2001   193   297   65.0   2505     46       7   120.2
8                2002   270   439   61.5   3219     69       8   115.5
9                2003   289   431   67.1   3696     89       7   126.5
10               2004   348   536   64.9   3850     77       9   115.0
11               2005   189   320   59.1   2334     51      10   108.2
12               2006   295   507   58.2   3991     83      16   109.8
13               2007   315   498   63.3   4003     83      13   117.2
14               2008    60    94   63.8    783     16       3   116.3
15  career statistics  3314  5366   61.8  41742    845     122   115.9
