                       club         head coach       city                    stadium                      2007 season
0              busan i'park   hwang sun - hong      busan        busan asiad stadium                   13th in league
1           chunnam dragons    park hang - seo  gwangyang       gwang - yang stadium                   10th in league
2                  daegu fc   byun byung - joo      daegu    daegu world cup stadium                   12th in league
3           daejeon citizen             kim ho    daejeon  daejeon world cup stadium   6th in league , 6th in playoff
4                  fc seoul        şenol güneş      seoul    seoul world cup stadium                    7th in league
5            gwangju sangmu      lee kang - jo    gwangju  gwangju world cup stadium                   14th in league
6              gyeongnam fc    cho kwang - rae   changwon     changwon civil stadium  4th in league , t5th in playoff
7            incheon united  chang woe - ryong    incheon     incheon munhak stadium                    9th in league
8               jeju united   arthur bernardes   seogwipo     jeju world cup stadium                   11th in league
9    jeonbuk hyundai motors    choi kang - hee     jeonju   jeonju world cup stadium                    8th in league
10          pohang steelers      sérgio farias     pohang          steelyard stadium  5th in league , t1st in playoff
11    seongnam ilhwa chunma     kim hak - beom   seongnam         seongnam 2 stadium  1st in league , t2nd in playoff
12  suwon samsung bluewings      cha bum - kun      suwon    suwon world cup stadium  2nd in league , t3rd in playoff
13            ulsan hyundai     kim jung - nam      ulsan          munsu cup stadium  3rd in league , t4th in playoff
