                     ceremony                     date                                           host (s)                                                venue                                 film of the year
0    1st canadian film awards          april 27 , 1949                                     robert winters              little elgin theatre , ottawa , ontario                             the loon 's necklace
1    2nd canadian film awards          april 19 , 1950                    prime minister louis st laurent              little elgin theatre , ottawa , ontario                                     none awarded
2    3rd canadian film awards          april 22 , 1951                                      mary pickford                     odeon theatre , ottawa , ontario                                     none awarded
3    4th canadian film awards          april 27 , 1952                                 sidney earle smith                 victoria theatre , toronto , ontario                               newfoundland scene
4    5th canadian film awards          april 30 , 1953  jacques des baillets (with guest dorothy lamour )                   avenue theatre , montreal , quebec                                        tit - coq
5    6th canadian film awards            may 10 , 1954                j r white ( imperial oil president)                     kent theatre , montreal , quebec                                      the seasons
6    7th canadian film awards                     1955                                 no public ceremony                                   no public ceremony                          the stratford adventure
7    8th canadian film awards          august 6 , 1956                                      maurice evans                   avon theatre , stratford , ontario                                     none awarded
8    9th canadian film awards           june 15 , 1957                                leonard brockington                king edward hotel , toronto , ontario                                     none awarded
9   10th canadian film awards           june 21 , 1958                                    davidson dunton                king edward hotel , toronto , ontario                                     city of gold
10  11th canadian film awards            june 5 , 1959                                       w j sheridan                king edward hotel , toronto , ontario                                     none awarded
11  12th canadian film awards            june 3 , 1960                                     albert trueman                king edward hotel , toronto , ontario                                     none awarded
12  13th canadian film awards            may 13 , 1961                                    alphonse ouimet                king edward hotel , toronto , ontario                                         universe
13  14th canadian film awards            may 26 , 1962                                     andrew stewart                king edward hotel , toronto , ontario                                     none awarded
14  15th canadian film awards            may 10 , 1963                                   jeanine beaubien            queen elizabeth hotel , montreal , quebec                                       lonely boy
15  16th canadian film awards             may 8 , 1964                                  wayne and shuster                 royal york hotel , toronto , ontario                           pour la suite du monde
16  17th canadian film awards            may 15 , 1965                                       max ferguson                   westbury hotel , toronto , ontario                                     none awarded
17  18th canadian film awards             may 6 , 1966                                        rich little            queen elizabeth hotel , montreal , quebec                 the mills of the gods : viet nam
18  19th canadian film awards            sep 23 , 1967                                         fred davis                  inn on the park , toronto , ontario                                       warrendale
19  20th canadian film awards             oct 4 , 1968                       bill walker , louise marleau              seaway towers hotel , toronto , ontario                                 a place to stand
20  21st canadian film awards             oct 4 , 1969                                         fred davis                 royal york hotel , toronto , ontario  the best damn fiddler from calabogie to kaladar
21  22nd canadian film awards             oct 3 , 1970                                        bill walker                 imperial theatre , toronto , ontario                                     psychocratie
22  23rd canadian film awards             oct 1 , 1971                                     leslie nielsen                 royal york hotel , toronto , ontario                                     none awarded
23  24th canadian film awards            oct 13 , 1972                                    jacques fauteux         ontario place cinesphere , toronto , ontario                                     none awarded
24  25th canadian film awards            oct 12 , 1973              press conference , no formal ceremony                chevalier theatre , montreal , quebec                                     none awarded
25        no ceremony in 1974      no ceremony in 1974                                no ceremony in 1974                                  no ceremony in 1974                              no ceremony in 1974
26  26th canadian film awards            oct 12 , 1975                                      peter gzowski  shaw festival , niagara - on - the - lake , ontario                                       les ordres
27  27th canadian film awards            oct 21 , 1976                                       lorne greene            cfto - tv studios , scarborough , ontario                                     none awarded
28  28th canadian film awards            nov 20 , 1977                                     gordon pinsent      hilton harbour castle hotel , toronto , ontario                                     none awarded
29  29th canadian film awards            sep 21 , 1978                      john candy , catherine o'hara                  ryerson theatre , toronto , ontario                                     none awarded
30    s genie award from 1980  s genie award from 1980                            s genie award from 1980                              s genie award from 1980                          s genie award from 1980
31                   ceremony                     date                                           host (s)                                                venue                                 film of the year
