     rank         nation  gold  silver  bronze  total
0       1   soviet union    10       2       6     18
1       2           iran     3       3       2      8
2       3  united states     2       3       2      7
3       4        romania     2       1       1      4
4       5          japan     2       0       2      4
5       6       bulgaria     1       5       2      8
6       7         sweden     0       1       2      3
7       8        finland     0       1       1      2
8       8     yugoslavia     0       1       1      2
9      10    south korea     0       1       0      1
10     10   west germany     0       1       0      1
11  total          total    20      19      19     58
