     res     record           opponent                method             event                   location
0   loss  6 - 4 - 1           kj noons  decision (unanimous)           dream13           yokohama , japan
1   loss  6 - 3 - 1   katsunori kikuno         tko (punches)           dream10  saitama , saitama , japan
2   loss  6 - 2 - 1      eddie alvarez         tko (punches)            dream1  saitama , saitama , japan
3   loss  6 - 1 - 1  gesias cavalcante   submission (armbar)        hero 's 10           yokohama , japan
4    win  6 - 0 - 1           caol uno  decision (unanimous)        hero 's 10           yokohama , japan
5    win  5 - 0 - 1   artur oumakhanov         tko (punches)         hero 's 9           yokohama , japan
6    win  4 - 0 - 1    hiroyuki takaya     tko (broken nose)         hero 's 8             nagoya , japan
7    win  3 - 0 - 1      felipe borges                   tko  storm samurai 12          curitiba , brazil
8   draw  2 - 0 - 1     claudio mattos                  draw   storm samurai 8         brasílial , brazil
9    win      2 - 0      sergio vieira            ko (punch)   storm samurai 6          curitiba , brazil
10   win      1 - 0      leandro sousa              decision   storm samurai 4          curitiba , brazil
