         tournament     surface         week                             winner and score            finalist                         semifinalists
0      indian wells        hard     march 10  michael chang 4 - 6 , 6 - 3 , 6 - 4 , 6 - 3     bohdan ulihrach          jonas björkman thomas muster
1       key biscane        hard     march 17      thomas muster 7 - 6 (6) , 6 - 3 , 6 - 1      sergi bruguera              pete sampras jim courier
2       monte carlo        clay     april 21           marcelo ríos 6 - 4 , 6 - 3 , 6 - 3       àlex corretja           carlos moyá fabrice santoro
3           hamburg        clay        may 5        andriy medvedev 6 - 0 , 6 - 4 , 6 - 2      félix mantilla         tommy haas yevgeny kafelnikov
4              rome        clay       may 12          àlex corretja 7 - 5 , 7 - 5 , 6 - 3        marcelo ríos  alberto berasategui goran ivanišević
5          montréal        hard      july 28         chris woodruff 7 - 5 , 4 - 6 , 6 - 3     gustavo kuerten      michael chang yevgeny kafelnikov
6        cincinnati        hard     august 4                   pete sampras 6 - 3 , 6 - 4       thomas muster            albert costa michael chang
7         stuttgart  carpet (i)   october 20         petr korda 7 - 6 (6) , 6 - 2 , 6 - 4    richard krajicek         jonas björkman patrick rafter
8             paris  carpet (i)   october 27   pete sampras 6 - 3 , 4 - 6 , 6 - 3 , 6 - 1      jonas björkman     yevgeny kafelnikov thomas enqvist
9  hannover ( awc )    hard (i)  november 10           pete sampras 6 - 3 , 6 - 2 , 6 - 2  yevgeny kafelnikov            carlos moyá jonas björkman
