                    institution  wins  loss  home wins  home losses  away wins  away losses  neutral wins  neutral losses
0         boston college eagles     6     1          3            1          3            0             0               0
1                clemson tigers     9     5          4            3          5            2             0               0
2              duke blue devils    12     2          5            0          3            2             4               0
3       florida state seminoles     6     8          4            3          2            5             0               0
4   georgia tech yellow jackets     4     9          3            2          1            6             0               1
5            maryland terrapins    10     4          5            1          4            1             1               2
6              miami hurricanes     2     4          2            1          0            3             0               0
7      north carolina tar heels     7     7          3            3          2            4             2               0
8             nc state wolfpack     5     8          4            2          1            6             0               0
9     notre dame fighting irish     0     0          0            0          0            0             0               0
10                pitt panthers     0     0          0            0          0            0             0               0
11              syracuse orange     0     0          0            0          0            0             0               0
12           virginia cavaliers     8     5          5            1          3            4             0               0
13         virginia tech hokies     3     5          2            2          1            3             0               0
14    wake forest demon deacons    10     3          6            1          4            2             0               0
15                      overall    82    61         46           20         29           38             7               3
