     tournament     surface        week                                          winner                  finalist                       semifinalists
0         tokyo  carpet (i)  january 31       maria sharapova 6 - 1 , 3 - 6 , 7 - 6 (5)         lindsay davenport  svetlana kuznetsova shinobu asagoe
1  indian wells        hard     march 7             kim clijsters 6 - 4 , 4 - 6 , 6 - 2         lindsay davenport    maria sharapova elena dementieva
2         miami        hard    march 21                     kim clijsters 6 - 3 , 7 - 5           maria sharapova      amélie mauresmo venus williams
3    charleston        clay    april 11          justine henin - hardenne 7 - 5 , 6 - 4          elena dementieva      tatiana golovin patty schnyder
4        berlin        clay       may 2  justine henin - hardenne 6 - 3 , 4 - 6 , 6 - 3             nadia petrova      patty schnyder jelena janković
5          rome        clay       may 9           amélie mauresmo 2 - 6 , 6 - 3 , 6 - 4            patty schnyder      maria sharapova vera zvonareva
6     san diego        hard    august 1                       mary pierce 6 - 0 , 6 - 3               ai sugiyama           shuai peng akiko morigami
7       toronto        hard   august 15                     kim clijsters 7 - 5 , 6 - 1  justine henin - hardenne   anastasia myskina amélie mauresmo
8        moscow  carpet (i)  october 10                       mary pierce 6 - 4 , 6 - 3       francesca schiavone      dinara safina elena dementieva
9        zurich  carpet (i)  october 17             lindsay davenport 7 - 6 (5) , 6 - 3            patty schnyder      anastasia myskina ana ivanovic
