    rank                                     name          nation  points  placings
0      1  liudmila pakhomova / alexander gorshkov    soviet union  524.20       9.0
1      2               angelika buck / erich buck    west germany  514.55      18.0
2      3                hilary green / glyn watts  united kingdom  499.05      29.0
3      4            janet sawbridge / peter dalby  united kingdom  493.25      38.0
4      5    tatiana voitiuk / viacheslav zhigalin    soviet union  488.30      43.0
5      6       mary karen campbell / johnny johns   united states  479.30      60.0
6      7         irina moiseeva / andrei minenkov    soviet union  475.80      63.5
7      8       diana skotnická / martin skotnický  czechoslovakia  470.85      72.5
8      9               louise soper / barry soper          canada  471.00      73.0
9     10        anne millier / harvey millier iii   united states  459.15      93.0
10    11       matilde ciccia / lamberto ceserani           italy  452.10     100.0
11    12             rodalind druce / david baker  united kingdom  448.70     107.0
12    13        krisztina regőczy / andrás sallay         hungary  442.70     115.0
13    14       halina gordon / wojciech bankowski          poland  425.80     130.0
14    15        barbara berezowski / david porter          canada  426.35     131.0
15    16      anne - claude wolfers / roland mars          france  408.80     146.0
16    17           christina henke / udo dönsdorf    west germany  402.00     151.0
17    18  brigitte scheijbal / walter leschetizky         austria  393.65     160.0
