     res     record               opponent                  method                                            event  round  time                location
0   loss  8 - 3 - 1      kim jae young kim  ko (punches and knees)                                     spirit mc 17      1  0:33     seoul , south korea
1    win  8 - 2 - 1      whi seung bae whi    decision (unanimous)                                      sprit mc 16      3  5:00     seoul , south korea
2    win  7 - 2 - 1         kim ho jin kim     submission (armbar)  deep (mixed martial arts) - protect impact 2007      1  3:38           osaka , japan
3    win  6 - 2 - 1     choi jung gyu choi           tko (punches)                                     spirit mc 13      3  3:34     seoul , south korea
4    win  5 - 2 - 1    chun gil myung chun    submission (keylock)                                     spirit mc 13      1  3:29     seoul , south korea
5    win  4 - 2 - 1     shin dong woo shin              ko (punch)                                     spirit mc 12      1  2:18     seoul , south korea
6   draw  3 - 2 - 1       orui sojiro orui                    draw                                 deep - 31 impact      2  5:00           tokyo , japan
7    win      3 - 2  babene gregory babene           tko (punches)                          real rhythm - 5th stage      1  3:36           osaka , japan
8    win      2 - 2          ryo seiki ryo    decision (unanimous)                                  deep - clubdeep      2  5:00                  nagoya
9   loss      1 - 2         ring nick ring    decision (unanimous)                                 deep - 23 impact      2  5:00           tokyo , japan
10   win      1 - 1       sato ryuhei sato           tko (punches)                               deep - 21st impact      1  3:51           tokyo , japan
11  loss      0 - 1     okubo kazuki okubo      sumission (armbar)                                  pride bushido 8      1  4:29  nagoya , aichi , japan
