   year (ceremony)       film title used in nomination                   original title              director                  result
0      1971 (44th)                   mon oncle antoine                mon oncle antoine          claude jutra           not nominated
1      1972 (45th)       the true nature of bernadette    la vraie nature de bernadette          gilles carle           not nominated
2      1975 (48th)                              orders                       les ordres         michel brault           not nominated
3      1977 (50th)              ja martin photographer            ja martin photographe          jean beaudin           not nominated
4      1979 (52nd)               a scream from silence              mourir à tue - tête   anne claire poirier           not nominated
5      1980 (53rd)                       good riddance                les bons débarras    francis mankiewicz           not nominated
6      1981 (54th)                  the plouffe family                      les plouffe          gilles carle           not nominated
7      1982 (55th)                        wild flowers               les fleurs savages  jean pierre lefebvre           not nominated
8      1983 (56th)                       the tin flute               bonheur d'occasion       claude fournier           not nominated
9      1984 (57th)                            sonatine                         sonatine     micheline lanctôt           not nominated
10     1985 (58th)                jacques and november              jacques et novembre      françois bouvier           not nominated
11     1986 (59th)  the decline of the american empire  le déclin de l'empire américain          denys arcand                 nominee
12     1987 (60th)                           night zoo                   un zoo la nuit  jean - claude lauzon           not nominated
13     1988 (61st)                 the revolving doors            les portes tournantes    francis mankiewicz           not nominated
14     1989 (62nd)                   jesus of montreal                jésus de montréal          denys arcand                 nominee
15     1990 (63rd)                   an imaginary tale            une histoire inventée         andré forcier           not nominated
16     1991 (64th)                a bullet in the head             a bullet in the head       attila bertalan           not nominated
17     1992 (65th)                               léolo                            léolo  jean - claude lauzon           not nominated
18     1993 (66th)                 le sexe des étoiles              le sexe des étoiles     paule baillargeon           not nominated
19     1994 (67th)                        mon amie max                     mon amie max         michel brault           not nominated
20     1995 (68th)                    the confessional                  le confessional         robert lepage           not nominated
21     1996 (69th)                             not me!                       sous - sol           pierre gang           not nominated
22     1998 (71st)                august 32nd on earth             un 32 août sur terre      denis villeneuve           not nominated
23     1999 (72nd)                         set me free                    emporte - moi              léa pool           not nominated
24     2000 (73rd)                           maelström                        maelström      denis villeneuve           not nominated
25     2001 (74th)                          atanarjuat                       atanarjuat       zacharias kunuk           not nominated
26     2002 (75th)               un crabe dans la tête            un crabe dans la tête          andré turpin           not nominated
27     2003 (76th)             the barbarian invasions           les invasions barbares          denys arcand       won academy award
28     2004 (77th)                far side of the moon        la face cachée de la lune         robert lepage           not nominated
29     2005 (78th)                               crazy                            crazy    jean - marc vallée           not nominated
30     2006 (79th)                               water                             वाटर           deepa mehta                 nominee
31     2007 (80th)                    days of darkness                 lge des ténèbres          denys arcand  made january shortlist
32     2008 (81st)             the necessities of life         ce qu'il faut pour vivre          benoît pilon  made january shortlist
33     2009 (82nd)                  i killed my mother                 j'ai tué ma mère          xavier dolan           not nominated
34     2010 (83rd)                           incendies                        incendies      denis villeneuve                 nominee
35     2011 (84th)                     monsieur lazhar                  monsieur lazhar    philippe falardeau                 nominee
36     2012 (85th)                           war witch                          rebelle            kim nguyen                 nominee
