   year (ceremony)          film title used in nomination                                 original title                   director                  result
0      1957 (30th)                                  amina                                    amina (阿美娜)               yuan congmei           not nominated
1      1964 (37th)                           lovers' rock                              qíngrén shí (情人石)                    pan lei           not nominated
2      1966 (39th)                        the silent wife                            yǎnǚ qíngxīn (啞女情深)                  lee hsing           not nominated
3      1972 (45th)                    execution in autumn                                    qiūjué (秋決)                  lee hsing           not nominated
4      1976 (49th)                         the 800 heroes                         bābǎi zhuàngshì (八百壯士)             ting shan - si           not nominated
5      1980 (53rd)          the legend of the six dynasty                         liùcháo guàitán (六朝怪談)             wong guk - gam           not nominated
6      1981 (54th)                     if i were for real                    jiǎrú wǒshì zhēnde (假如我是真的)                  wang toon           not nominated
7      1982 (55th)   the battle for the republic of china                        xīnhài shuāngshí (辛亥雙十)             ting shan - si           not nominated
8      1983 (56th)                             growing up                       xiǎo bì de gùshì (小畢的故事)                chen kunhou           not nominated
9      1984 (55th)                old mo 's second spring         lǎo mò de dì èr ge chūntiān (老莫的第二個春天)             lee you - ning           not nominated
10     1985 (58th)                   kuei - mei , a woman             wǒ zhèyàng guòle yìshēng (我這樣過了一生)                   chang yi           not nominated
11     1986 (59th)                    the heroic pioneers                    tángshān guò táiwān (唐山過台灣)                  lee shing           not nominated
12     1987 (60th)                        osmanthus alley                             guìhuā xiàng (桂花巷)                chen kunhou           not nominated
13     1988 (61st)                  my mother 's teahouse                          chūnqiū cháshì (春秋茶室)                chen kunhou           not nominated
14     1989 (62nd)                      a city of sadness                        bēiqíng chéngshì (悲情城市)          hou hsiao - hsien           not nominated
15     1990 (63rd)                      song of the exile                             kètú qiūhèn (客途秋恨)                    ann hui           not nominated
16     1991 (64th)                  a brighter summer day  gúlǐngjiē shàonián shārén shìjiàn (牯嶺街少年殺人事件)                edward yang           not nominated
17     1992 (65th)                     peach blossom land                      ànliàn táohuāyuán (暗戀桃花源)                   stan lai           not nominated
18     1993 (66th)                    the wedding banquet                                     xǐyàn (喜宴)                    ang lee                 nominee
19     1994 (67th)                    eat drink man woman                            yǐnshí nánnǚ (飲食男女)                    ang lee                 nominee
20     1995 (68th)                       super citizen ko                        chāojí dàguómín (超級大國民)                    wan jen           not nominated
21     1996 (69th)               tonight nobody goes home                       jīntiān bùhuíjiā (今天不回家)               sylvia chang           not nominated
22     1997 (70th)                         yours and mine                      wǒde shénjīngbìng (我的神經病)              wang siu - di           not nominated
23     1998 (71st)                    flowers of shanghai                            hāi shàng huā (海上花)          hou hsiao - hsien           not nominated
24     1999 (72nd)                     march of happiness                          tiānmǎ cháfáng (天馬茶房)          lin cheng - sheng           not nominated
25     2000 (73rd)        crouching tiger , hidden dragon                           wòhǔ cánglóng (臥虎藏龍)                    ang lee       won academy award
26     2001 (74th)                             the cabbie                  yùnzhuǎnshǒu zhī liàn (運轉手之戀)  chen yiwen , huakun zhang           not nominated
27     2002 (75th)                      the best of times                          měilì shíguāng (美麗時光)            chang tso - chi           not nominated
28     2003 (76th)                   goodbye , dragon inn                                     búsàn (不散)          tsai ming - liang           not nominated
29     2004 (77th)                               20 30 40                                       20 30 40               sylvia chang           not nominated
30     2005 (78th)                      the wayward cloud                      tiānbiān yìduǒyún (天邊一朵雲)          tsai ming - liang           not nominated
31     2006 (79th)                           blue cha cha                                   shēnhǎi (深海)            chen wen - tang           not nominated
32     2007 (80th)                           island etude                                 liànxíqǔ (練習曲)             chen huai - en           not nominated
33     2008 (81st)                              cape no 7                           háijiǎo qīhào (海角七號)             wei te - sheng           not nominated
34     2009 (82nd)                  no puedo vivir sin ti                       bùnéng méiyǒu nǐ (不能沒有你)                   leon dai           not nominated
35     2010 (83rd)                                  monga                                báng - kah (艋舺)                   doze niu           not nominated
36     2011 (84th)  warriors of the rainbow : seediq bale                      sài dé kè．ba lái (賽德克‧巴萊)             wei te - sheng  made january shortlist
37     2012 (85th)                     touch of the light                                           逆光飛翔            chang rong - ji           not nominated
38     2013 (86th)                                   soul                                             失魂          chung mong - hong                     tbd
