    round  pick            player          position    school / club team
0       1    14       ruben brown             guard            pittsburgh
1       2    45      todd collins       quarterback              michigan
2       3    76     marlon kerner    defensive back            ohio state
3       3    96  damien covington        linebacker  north carolina state
4       4   109         ken irvin    defensive back               memphis
5       4   113     justin armour     wide receiver              stanford
6       4   131        tony cline         tight end              stanford
7       5   144      john holecek        linebacker              illinois
8       6   185  shannon clavelle  defensive tackle              colorado
9       7   221       tom nã¼tten            center      western michigan
10      7   244     darick holmes      running back        portland state
