     res  record               opponent                         method                                    event  round   time                                      location
0    win  15 - 5            mike pierce         submission (heel hook)        ufc fight night : maia vs shields      1   0:31                  barueri , são paulo , brazil
1   loss  14 - 5         hector lombard                   ko (punches)      ufc on fx : sotiropoulos vs pearson      1   3:38           gold coast , queensland , australia
2   loss  14 - 4           alan belcher         tko (punches & elbows)              ufc on fox : diaz vs miller      1   4:18  east rutherford , new jersey , united states
3    win  14 - 3         mike massenzio         submission (heel hook)                                  ufc 142      1   1:03      rio de janeiro , rio de janeiro , brazil
4    win  13 - 3             dan miller           decision (unanimous)                                  ufc 134      3   5:00      rio de janeiro , rio de janeiro , brazil
5    win  12 - 3           david branch           submission (kneebar)           ufc live : sanchez vs kampmann      2   1:44         louisville , kentucky , united states
6   loss  11 - 3         nate marquardt                  tko (punches)  ufc fight night : marquardt vs palhares      1   3:28                austin , texas , united states
7    win  11 - 2           tomasz drwal         submission (heel hook)                                  ufc 111      1   0:45           newark , new jersey , united states
8    win  10 - 2         lucio linhares         submission (heel hook)                                  ufc 107      2   3:21           memphis , tennessee , united states
9    win   9 - 2            jeremy horn           decision (unanimous)                                   ufc 93      3   5:00                              dublin , ireland
10  loss   8 - 2          dan henderson           decision (unanimous)                                   ufc 88      3   5:00             atlanta , georgia , united states
11   win   8 - 1         ivan salaverry            submission (armbar)                                   ufc 84      1   2:36            las vegas , nevada , united states
12   win   7 - 1          daniel acacio         submission (heel hook)                fury fc 5: final conflict      1   1:22                            são paulo , brazil
13   win   6 - 1       fabio nascimento         submission (heel hook)                fury fc 5: final conflict      1   2:45                            são paulo , brazil
14   win   5 - 1      flavio luiz moura         submission (heel hook)                  fury fc 4: high voltage      1   1:21                          teresopolis , brazil
15   win   4 - 1             helio dipp  submission (rear naked choke)                          floripa fight 3      1   1:40                        florianópolis , brazil
16   win   3 - 1         claudio mattos                   tko (injury)                         storm samurai 12      1   4:58                             curitiba , brazil
17  loss   2 - 1  arthur cesar jacintho               decision (split)                     rio mma challenger 2      3   5:00                       rio de janeiro , brazil
18   win   2 - 0           renan moraes            submission (armbar)             gold fighters championship 1      1  n / a                       rio de janeiro , brazil
19   win   1 - 0           bruno bastos               decision (split)                          floripa fight 2      3   5:00                        florianópolis , brazil
