    year      place                        gold                       silver                                bronze
0   1966  wiesbaden   vladimir vesselov ( urs )        jogan nikitin ( urs )                 john kingeter ( usa )
1   1967    pistoia     martin nordfors ( swe )    vladimir vesselov ( urs )                stig johansson ( swe )
2   1969  sandviken     martin nordfors ( swe )    valeri postoianov ( urs )                 john kingeter ( usa )
3   1970    phoenix         goete gaard ( swe )    valeri postoianov ( urs )               martin nordfors ( swe )
4   1973  melbourne  alexander kediarov ( urs )    valeri postoianov ( urs )            helmut bellingrodt ( col )
5   1974      berne  helmut bellingrodt ( col )    valeri postoianov ( urs )               alexander gazov ( urs )
6   1975     munich   valeri postoianov ( urs )   helmut bellingrodt ( col )              giovanni mezzani ( ita )
7   1978      seoul       juha rannikko ( fin )  john mckinley gough ( gbr )  carlos rene silva monterroso ( gua )
8   1979       linz        tibor bodnar ( hun )    andras doleschall ( hun )                 juha rannikko ( fin )
9   1981       mala      thomas pfeffer ( gdr )    aleksei rudnizkiy ( urs )                  tibor bodnar ( hun )
10  1982    caracas      yuri kadenatsy ( urs )   jerzy greszkiewicz ( pol )                 nikolai dedov ( urs )
11  1983   edmonton        igor sokolov ( urs )         tibor bodnar ( hun )             andras doleschall ( hun )
12  1986       suhl        sergei luzov ( urs )    jean luc tricoire ( fra )             andras doleschall ( hun )
13  1990     moscow       alexei poslov ( urs )       manfred kurzer ( gdr )                  attila solti ( hun )
14  1994      milan       quingquan shu ( chn )       lubos racansky ( cze )             gennadi avramenko ( ukr )
15  2002      lahti      maxim stepanov ( rus )       lubos racansky ( cze )                   jozsef sike ( hun )
16  2006     zagreb       lukasz czapla ( pol )       miroslav janus ( cze )                  peter pelach ( svk )
17  2008      plzeå    krister holmberg ( fin )       maxim stepanov ( rus )                miroslav janus ( cze )
18  2008    heinola      maxim stepanov ( rus )     krister holmberg ( fin )                  peter pelach ( svk )
