                    club         head coach               city                         stadium        2002 - 2003 season
0   académica de coimbra       joão pereira            coimbra       estádio cidade de coimbra          15th in the liga
1                alverca      josé couceiro            alverca  complexo desportivo fc alverca  2nd in the liga de honra
2             belenenses     augusto inácio             lisbon              estádio do restelo           9th in the liga
3                benfica       josé camacho             lisbon                  estádio da luz           2nd in the liga
4               boavista      jaime pacheco              porto                estádio do bessa          10th in the liga
5                  braga  jesualdo ferreira              braga      estádio municipal de braga          14th in the liga
6     estrela da amadora    miguel quaresma            amadora              estádio josé gomes  3rd in the liga de honra
7            gil vicente        luís campos           barcelos      estádio cidade de barcelos           8th in the liga
8        união de leiria       vítor pontes             leiria     estádio dr magalhães pessoa           5th in the liga
9               marítimo      manuel cajuda            funchal           estádio dos barreiros           7th in the liga
10              nacional      casemiro mior            funchal              estádio da madeira          11th in the liga
11     paços de ferreira          josé mota  paços de ferreira            estádio da mata real           6th in the liga
12           beira - mar      antónio sousa             aveiro     estádio municipal de aveiro          13th in the liga
13            moreirense     manuel machado          guimarães           estádio do moreirense          12th in the liga
14                 porto      josé mourinho              porto               estádio do dragão           1st in the liga
15           sporting cp    fernando santos             lisbon           estádio josé alvalade           3rd in the liga
16               rio ave       carlos brito      vila do conde               estádio dos arcos  1st in the liga de honra
17  vitória de guimarães        jorge jesus          guimarães      estádio d afonso henriques           4th in the liga
