          character                 position                   actor        first episode          final episode                       duration  final episode count
0      dr tom loman         medical examiner     christian clemenson          bolt action          habeas corpse                  08x03 - 10x19                   52
1     maxine valera           dna technician              boti bliss       blood brothers  delko for the defense                  02x01 - 08x11                   76
2        dan cooper            av technician            brendan fehr       from the grave                 all in                  04x01 - 06x16                   35
3      tyler jenson            av technician              brian poth           double cap                 10 - 7                  01x19 - 03x24                   29
4      aaron peters         trace technician         armando kennedy           crime wave         one of our own                  03x07 - 04x25                   16
5     cynthia wells            qd technician            brooke bloom             invasion          triple threat                  02x16 - 05x18                   14
6     jake berkeley                detective        johnny whitworth          going under               meltdown                  05x02 - 08x21                   12
7        john hagen                detective          holt mccallany           simple man                 10 - 7                  01x17 - 03x24                   11
8    adelle sevilla                detective          wanda de jesus  wet foot / dry foot             simple man                  01x03 - 01x17                   10
9    rebecca nevins                      asa         christina chang           hell night              time bomb                  03x06 - 08x23                   10
10     joseph kayle  fingerprints technician        leslie odom , jr     the best defense                  shock  02x05 - 03x20 , 04x22 - 04x24                    9
11     aaron jessop                  officer               joel west             the oath         one of our own                  02x20 - 04x25                    8
12    sam belmontes         trace technician  christian de la fuente            hard time                  legal                  02x03 - 03x05                    7
13    peter elliott     secret service agent        michael b silver    money for nothing         death pool 100                  02x17 - 05x03                    7
14      monica west                      asa           bellamy young    urban hellraisers         one of our own                  04x10 - 04x25                    6
15        glen cole                fbi agent            mark rolston       one of our own     miami confidential                  04x25 - 06x12                    3
16       bob keaton                dea agent             max martini          big brother              vengeance          02x08 , 03x20 - 03x22                    3
17       mac taylor                 nypd csi             gary sinise    mia / nyc nonstop          felony flight                  02x23 , 04x07                    2
18  stella bonasera                 nypd csi      melina kanakaredes    mia / nyc nonstop      mia / nyc nonstop                          02x23                    1
19       aiden burn                 nypd csi         vanessa ferlito    mia / nyc nonstop      mia / nyc nonstop                          02x23                    1
20     danny messer                 nypd csi      carmine giovinazzo    mia / nyc nonstop      mia / nyc nonstop                          02x23                    1
21   sheldon hawkes    nypd medical examiner             hill harper    mia / nyc nonstop      mia / nyc nonstop                          02x23                    1
