    rank           champion               runner - up        third place              fourth place  total
0      1  2 ( 2006 , 2012 )                1 ( 2008 )         1 ( 2004 )                         -      4
1      2  2 ( 2008 , 2011 )                         -         1 ( 2007 )         2 ( 2009 , 2012 )      5
2      3         1 ( 2007 )  3 ( 2009 , 2010 , 2011 )  2 ( 2005 , 2012 )                         -      6
3      4         1 ( 2010 )                1 ( 2007 )         1 ( 2009 )                         -      3
4      5         1 ( 2005 )                1 ( 2004 )                  -                         -      2
5      6         1 ( 2004 )                         -         1 ( 2013 )                         -      2
6      7         1 ( 2009 )                         -                  -         2 ( 2004 , 2008 )      3
7      8         1 ( 2013 )                         -                  -                         -      1
8      9                  -         2 ( 2006 , 2013 )                  -                         -      2
9     10                  -                1 ( 2012 )  2 ( 2008 , 2010 )  3 ( 2005 , 2006 , 2013 )      6
10    11                  -                1 ( 2005 )                  -                         -      1
11    12                  -                         -         1 ( 2011 )                1 ( 2007 )      2
12    13                  -                         -         1 ( 2006 )                         -      1
13    14                  -                         -                  -         2 ( 2010 , 2011 )      2
