    rank          nation  gold  silver  bronze  total
0      1    soviet union    12      12      11     35
1      2    east germany    12      10      10     32
2      3    west germany     4       2       2      8
3      4           italy     4       1       0      5
4      5          poland     2       2       3      7
5      6   great britain     1       4       2      7
6      7         finland     1       2       3      6
7      8      yugoslavia     1       1       0      2
8      9          france     1       0       1      2
9     10         hungary     1       0       0      1
10    10           spain     1       0       0      1
11    12  czechoslovakia     0       2       3      5
12    13         romania     0       2       0      2
13    14     switzerland     0       1       1      2
14    15         ireland     0       1       0      1
15    15          sweden     0       1       0      1
16    17         belgium     0       0       1      1
17    17        bulgaria     0       0       1      1
18    17          norway     0       0       1      1
19    19           total    40      41      39    120
