   position           driver                  entrant  class  laps
0         1    bib stillwell             bs stillwell  a1½lf    20
1         2    leo geoghegan               total team  a1½lf    20
2         3        john ampt                   j ampt  a1½lf    19
3         4       glyn scott        glyn scott motors  a1½lf    19
4         5       noel potts                  n potts  a1½lf    18
5         6        ric price                  r price    af2    17
6         7     lionel ayers  motor racing components    af2    16
7         8   kevin bartlett                j mcguire    af2    16
8         9   andy macgregor           total armadale    af2    16
9       dnf  barry collerson              b collerson    af2    14
10      dnf       barry lake                   b lake  a1½lf    13
11      dnf      max stewart                m stewart    af2    10
12      dnf    mike champion               m champion  a1½lf     9
13      dnf        phil west       kurt keller motors    af2     8
14      dnf       bob salter            salter motors  a1½lf     3
15      dnf     allan felton       kurt keller motors    af2     1
