    game            date             opponent      score   record
0     24   12 / 1 / 1973  seattle supersonics  120 - 110  13 - 11
1     25   12 / 5 / 1973    kansas city kings  105 - 117  13 - 12
2     26   12 / 7 / 1973       boston celtics  112 - 116  13 - 13
3     27   12 / 8 / 1973      new york knicks  100 - 117  13 - 14
4     28  12 / 11 / 1973       buffalo braves  127 - 132  13 - 15
5     29  12 / 15 / 1973      milwaukee bucks   82 - 116  13 - 16
6     30  12 / 18 / 1973      capital bullets    98 - 91  14 - 16
7     31  12 / 19 / 1973      new york knicks  107 - 105  15 - 16
8     32  12 / 21 / 1973      houston rockets  124 - 110  16 - 16
9     33  12 / 22 / 1973  cleveland cavaliers   98 - 108  16 - 17
10    34  12 / 26 / 1973   philadelphia 76ers  145 - 118  17 - 17
11    35  12 / 28 / 1973        chicago bulls   94 - 118  17 - 18
12    36  12 / 29 / 1973      houston rockets  114 - 110  18 - 18
13    37  12 / 30 / 1973  cleveland cavaliers    99 - 94  19 - 18
