     res      record            opponent                                     method  round   time                                  location
0    win  28 - 4 - 1     ruben villareal                            tko (leg kicks)      1   3:24  los angeles , california , united states
1    win  27 - 4 - 1     kevin randleman                           decision (split)      1  21:00      birmingham , alabama , united states
2    win  26 - 4 - 1    tsuyoshi kohsaka                              tko (punches)      1  14:15        kenner , louisiana , united states
3    win  25 - 4 - 1      kengo watanabe                          tko (lost points)      1   2:58                             tokyo , japan
4    win  24 - 4 - 1  keiichiro yamamiya              submission (rear naked choke)      1   4:58               yokohama , kanagawa , japan
5    win  23 - 4 - 1       osami shibuya         submission (bas rutten neck crank)      1   3:15                   urayasu , chiba , japan
6    win  22 - 4 - 1         takaku fuke                        submission (armbar)      1   4:28                  hakata , fukuoka , japan
7    win  21 - 4 - 1       kiuma kunioku                     decision (lost points)      1  15:00                   urayasu , chiba , japan
8   draw  20 - 4 - 1       osami shibuya                                       draw      1  15:00                    nagoya , aichi , japan
9    win      20 - 4       manabu yamada                      submission (toe hold)      1   0:54                    nagoya , aichi , japan
10   win      19 - 4    masakatsu funaki                          tko (lost points)      1  17:05                   urayasu , chiba , japan
11   win      18 - 4       jason delucia                           tko (liver shot)      1   8:48                 fukuoka , fukuoka , japan
12   win      17 - 4      frank shamrock                                  tko (cut)      1  11:11                             tokyo , japan
13   win      16 - 4    katsuomi inagaki                          tko (lost points)      1  14:07                             tokyo , japan
14   win      15 - 4          guy mezger                     submission (heel hook)      1  19:36                      kobe , hyogo , japan
15   win      14 - 4   ryushi yanagisawa              submission (rear naked choke)      1  27:35                sapporo , hokkaido , japan
16   win      13 - 4       maurice smith              submission (rear naked choke)      1   4:34               yokohama , kanagawa , japan
17   win      12 - 4       minoru suzuki              submission (guillotine choke)      1  15:35                             tokyo , japan
18   win      11 - 4      frank shamrock                           decision (split)      1  15:00                             tokyo , japan
19   win      10 - 4       jason delucia                      submission (toe hold)      1   1:32                sapporo , hokkaido , japan
20   win       9 - 4       maurice smith                       submission (kneebar)      1   2:10                   urayasu , chiba , japan
21   win       8 - 4         takaku fuke                     submission (heel hook)      1   1:52                    nagoya , aichi , japan
22  loss       7 - 4        ken shamrock                       submission (kneebar)      1   1:01               yokohama , kanagawa , japan
23   win       7 - 3       manabu yamada  technical submission (arm triangle choke)      1   1:05                    nagoya , aichi , japan
24  loss       6 - 3      frank shamrock                        decision (majority)      1  10:00                             tokyo , japan
25   win       6 - 2       jason delucia              submission (guillotine choke)      1   1:43                             tokyo , japan
26  loss       5 - 2        ken shamrock              submission (rear naked choke)      1  16:42                             tokyo , japan
27   win       5 - 1       minoru suzuki                     ko (knee to the liver)      1   3:43                 amagasaki , hyogo , japan
28   win       4 - 1     kazuo takahashi           technical submission (heel hook)      1   1:37                             tokyo , japan
29   win       3 - 1        vernon white              submission (guillotine choke)      1   1:16                     osaka , osaka , japan
30  loss       2 - 1    masakatsu funaki                      submission (toe hold)      1   2:58               yokohama , kanagawa , japan
31   win       2 - 0         takaku fuke                    tko (knee to the liver)      1   2:03                    nagoya , aichi , japan
32   win       1 - 0   ryushi yanagisawa                           ko (palm strike)      1   0:43                   urayasu , chiba , japan
