    position              team  played  wins  draws  losses  scored  conceded  points
0          1     cerro porteño      11     8      2       1      28         9      26
1          2           guaraní      11     6      3       2      20        15      21
2          3        cerro corá      11     5      3       3      18        16      18
3          4    atl colegiales      11     5      1       5      14        15      16
4          5     12 de octubre      11     4      3       4      18        20      15
5          6    sol de américa      11     2      7       2      12        10      13
6          7          nacional      11     2      7       2      17        23      13
7          8           olimpia      11     3      3       5      13        12      12
8          9       san lorenzo      11     2      5       4      13        16      11
9         10  sportivo luqueño      11     2      5       4       8        13      11
10        11          libertad      11     1      6       4      12        18       9
11        12  presidente hayes      11     1      5       5      12        18       8
