   year (ceremony)  film title used in nomination           original title            director                  result
0      1989 (62nd)  don't let them shoot the kite    uçurtmayı vurmasınlar        tunç başaran           not nominated
1      1992 (65th)                piano piano kid   piyano piyano bacaksız        tunç başaran           not nominated
2      1993 (66th)                 the blue exile              mavi sürgün         erden kıral           not nominated
3      1994 (67th)               tarzan of manisa           manisa tarzanı          orhan oğuz           not nominated
4      1997 (70th)                     the bandit                   eşkıya        yavuz turgul           not nominated
5      1999 (72nd)         mrs salkım 's diamonds  salkım hanımın taneleri  tomris giritlioğlu           not nominated
6      2000 (73rd)                  run for money             kaç para kaç          reha erdem           not nominated
7      2001 (74th)                          hejar     büyük adam küçük aşk       handan ipekçi           not nominated
8      2002 (75th)                              9                        9           ümit ünal           not nominated
9      2003 (76th)                        distant                     uzak   nuri bilge ceylan           not nominated
10     2005 (78th)                       lovelorn             gönül yarası        yavuz turgul           not nominated
11     2006 (79th)           ice cream , i scream         dondurmam gaymak         yüksel aksu           not nominated
12     2007 (80th)           a man 's fear of god                    takva       özer kızıltan           not nominated
13     2008 (81st)                  three monkeys                üç maymun   nuri bilge ceylan  made january shortlist
14     2009 (82nd)                  i saw the sun            güneşi gördüm   mahsun kırmızıgül           not nominated
15     2010 (83rd)                          honey                      bal    semih kaplanoğlu           not nominated
16     2011 (84th)   once upon a time in anatolia  bir zamanlar anadolu'da   nuri bilge ceylan           not nominated
17     2012 (85th)           where the fire burns       ateşin düştüğü yer        ismail güneş           not nominated
