                                             year                                      champions                                          score                                   runners - up                                          venue
0                                            1974                                  tus wörrstadt                                          4 - 0                             djk eintracht erle                                          mainz
1                                            1975                                      bonner sc                                          4 - 2                                  bayern munich                                  bad godesberg
2                                            1976                                  bayern munich                                          4 - 2                         tennis borussia berlin                                         siegen
3                                            1977                          ssg bergisch gladbach                                    0 - 0 1 - 0                fc oberst schiel 1902 niederrad                    bergisch gladbach niederrad
4                                            1978                             sc 07 bad neuenahr                                    2 - 0 0 - 1                            fc hellas marpingen                         bad neuenahr eppelborn
5                                            1979                          ssg bergisch gladbach                                    2 - 3 1 - 0                                  bayern munich                       munich bergisch gladbach
6                                            1980                          ssg bergisch gladbach                                          5 - 0                                   kbc duisburg                              bergisch gladbach
7                                            1981                          ssg bergisch gladbach                                          4 - 0                         tennis borussia berlin                              bergisch gladbach
8                                            1982                          ssg bergisch gladbach                                          6 - 0                                  bayern munich                              bergisch gladbach
9                                            1983                          ssg bergisch gladbach                                          6 - 0                         tennis borussia berlin                              bergisch gladbach
10                                           1984                          ssg bergisch gladbach                                          3 - 1                                  fsv frankfurt                                      frankfurt
11                                           1985                                   kbc duisburg                                          1 - 0                                  bayern munich                                       duisburg
12                                           1986                                  fsv frankfurt                                          5 - 0                          ssg bergisch gladbach                              bergisch gladbach
13                                           1987                                     tsv siegen                                          2 - 1                                  fsv frankfurt                                         siegen
14                                           1988                          ssg bergisch gladbach                             0 - 0 (5 - 4 pso )                                   kbc duisburg                              bergisch gladbach
15                                           1989                          ssg bergisch gladbach                                          2 - 0                                    tus ahrbach                                      montabaur
16                                           1990                                     tsv siegen                                          3 - 0                          ssg bergisch gladbach                                         siegen
17  two divisional bundesliga play - off finals :  two divisional bundesliga play - off finals :  two divisional bundesliga play - off finals :  two divisional bundesliga play - off finals :  two divisional bundesliga play - off finals :
18                                           1991                                     tsv siegen                                          4 - 2                                  fsv frankfurt                                         siegen
19                                           1992                                     tsv siegen                                          2 - 0                         grün - weiß brauweiler                                         siegen
20                                           1993                              tus niederkirchen                                          2 - 1                                     tsv siegen                                   limburgerhof
21                                           1994                                     tsv siegen                                          1 - 0                         grün - weiß brauweiler                                        pulheim
22                                           1995                                  fsv frankfurt                                          2 - 0                         grün - weiß brauweiler                                        pulheim
23                                           1996                                     tsv siegen                                          1 - 0                                   sg praunheim                               frankfurt / main
24                                           1997                         grün - weiß brauweiler                             1 - 1 (5 - 3 pso )                       fc rumeln - kaldenhausen                             duisburg - homberg
