                 name  premier league  league cup  fa cup  uefa cup  total
0          tim cahill               8           0       1         0      9
1   marouane fellaini               8           0       1         0      9
2          louis saha               6           0       2         0      8
3        mikel arteta               6           0       1         0      7
4          leon osman               6           0       1         0      7
5                  jã               5           0       0         0      5
6    yakubu aiyegbeni               4           0       0         1      5
7      joleon lescott               4           0       1         0      5
8      steven pienaar               3           0       0         0      3
9         dan gosling               2           0       1         0      3
10    victor anichebe               1           0       0         0      1
11    leighton baines               1           0       0         0      1
12   segundo castillo               0           0       0         1      1
13      phil jagielka               0           0       0         1      1
14        joseph yobo               1           0       0         0      1
15           own goal               1           0       0         0      1
