    pick           player    position            nationality                 nhl team      college / junior / club team
0     33       dave lewis     defence                 canada       new york islanders           saskatoon blades (wchl)
1     34     jeff jacques      centre                 canada  california golden seals   st catharines black hawks (oha)
2     35      paul sheard  right wing  united kingdom canada        vancouver canucks                ottawa 67 's (oha)
3     36      doug gibson      centre                 canada            boston bruins          peterborough petes (oha)
4     37     ed humphreys  goaltender                 canada       montreal canadiens           saskatoon blades (wchl)
5     38      russ walker  right wing                 canada        los angeles kings           saskatoon blades (wchl)
6     39     nelson pyatt      centre                 canada        detroit red wings             oshawa generals (oha)
7     40       bob stumpf  right wing                 canada      philadelphia flyers     new westminster bruins (wchl)
8     41    rick chinnick  right wing                 canada    minnesota north stars          peterborough petes (oha)
9     42      mike clarke      centre                 canada      philadelphia flyers        calgary centennials (wchl)
10    43     robbie neale      centre                 canada        detroit red wings        brandon wheat kings (wchl)
11    44  andre deschamps   left wing                 canada           buffalo sabres           quebec remparts (qmjhl)
12    45       randy holt     defence                 canada      chicago black hawks              sudbury wolves (oha)
13    46    john campbell   left wing                 canada         new york rangers  sault ste marie greyhounds (oha)
14    47          al sims     defence                 canada            boston bruins           cornwall royals (qmjhl)
15    48      bob gassoff     defence                 canada           st louis blues        medicine hat tigers (wchl)
