               player  minutes  field goals  rebounds  assists  steals  blocks  points
0           sheri sam      904          147       132       66      35       5     396
1    katrina colleton      873          103        62       50      27       7     264
2      marlies askamp      869           85       231       29      17      21     251
3        debbie black      820           57        92       98      58       1     152
4       shantia owens      605           51        97       21      11      26     131
5   kristen rasmussen      454           35        96       27      24      14     126
6       milena flores      474           34        23       49      23       3     112
7          kisha ford      424           33        62       21      32       1     104
8      sharon manning      403           44       100       17      23       4     103
9       jamie cassidy      175           20        23        9       5       2      73
10       jameka jones      233           25        22       10       8       0      68
11         umeki webb      195           10        14       14       7       4      43
