            year                          winner                 first runner up                     third place        consolation winner / 4th          finals location
0   2012 details                  tsa toronto on     nrh north richland hills tx                    mesa mesa az                denver denver co             las vegas nv
1   2011 details     nrh north richland hills tx                  tsa toronto on                    mesa mesa az          federal way seattle wa             las vegas nv
2   2010 details                  tsa toronto on     nrh north richland hills tx                    mesa mesa az          federal way seattle wa       hoffman estates il
3   2009 details     nrh north richland hills tx                  tsa toronto on          federal way seattle wa     team off hoffman estates il             las vegas nv
4   2008 details     nrh north richland hills tx              shadowz lincoln ne              tsa scarborough on     team off hoffman estates il       hoffman estates il
5   2007 details      9 deadly venoms houston tx  brampton brew crew brampton on     team off hoffman estates il     nrh north richland hills tx              gwinnett ga
6   2006 details              shadowz lincoln ne   westland wolfpack westland mi                  42 appleton wi  brampton brew crew brampton on             las vegas nv
7   2005 details     nrh north richland hills tx      9 deadly venoms houston tx   westland wolfpack westland mi  brampton brew crew brampton on              mesquite tx
8   2004 details  brampton brew crew brampton on     nrh north richland hills tx      9 deadly venoms houston tx        phoenix pyros phoenix az             rochester ny
9   2003 details               paragon denver co   westland wolfpack westland mi              shadowz lincoln ne  brampton brew crew brampton on  north richland hills tx
10  2002 details               paragon denver co        phoenix pyros phoenix az      9 deadly venoms houston tx              shadowz lincoln ne              norridge il
11  2001 details               paragon denver co   westland wolfpack westland mi      san antonio san antonio tx                austin austin tx      colorado springs co
12  2000 details        phoenix pyros phoenix az               paragon denver co     tulsa whoopdonkeys tulsa ok   westland wolfpack westland mi           scarborough on
13  1999 details        phoenix pyros phoenix az               paragon denver co                austin austin tx     nrh north richland hills tx  north richland hills tx
14  1998 details      9 deadly venoms houston tx        phoenix pyros phoenix az           armageddon lincoln ne                    mesa mesa az             knoxville tn
15  1997 details     team mad madison heights mi               paragon denver co                oshawa oshawa on        phoenix pyros phoenix az         downers grove il
16  1996 details                oshawa oshawa on                london london on  brampton brew crew brampton on          charlotte charlotte nc                london on
