    no            player  league apps  league goals  cup apps  cup goals  total apps  total goals  yc  rc
0   24       steve adams           12             0         7          0          19            0   1   0
1   36   mikkel andersen            3             0         0          0           3            0   0   0
2   12        jody banim            8             0         0          0           8            0   1   0
3   15       tony bedeau           23             0         4          0          27            0   4   0
4    9     elliot benyon           22             5         8          0          30            5   1   0
5   20    roscoe d 'sane           19             3         6          2          25            5   3   0
6   25        mark ellis           22             3         7          0          29            3   3   0
7   14  chris hargreaves           38             3        14          2          52            5   8   0
8   11        kevin hill           13             2         7          1          20            3   0   0
9    2  paul hinshelwood            7             1         1          0           8            1   1   0
10  16   matthew hockley           29             1         4          0          33            1   5   0
11  20       scott laird            2             0         0          0           2            0   0   0
12  10      lee phillips           41            12        13          5          54           17   6   0
13   7       lee mansell           34             1        14          0          48            1   7   1
14  23      kaid mohamed           10             2         4          2          14            4   0   0
15  17   darren mullings            6             1         1          0           7            1   1   1
16   3   kevin nicholson           46             1        16          0          62            1   0   0
17  27      michael poke            4             0         2          0           6            0   0   0
18   1      simon rayner           30             0         3          0          33            0   0   0
19  21       martin rice            9             0        11          0          20            0   1   0
20   5   chris robertson           23             2         8          0          31            2   3   0
21   8         tim sills           44            19        15          4          59           23   5   0
22  19     danny stevens           29             2        10          3          39            5   2   0
23  24   leslie thompson            1             0         1          0           2            0   0   0
24   6        chris todd           42             5        15          2          57            7   8   0
25  18     ishmael welsh           18             1         4          0          22            4   0   0
26   4       steve woods           21             0         8          0          29            0   5   0
27  12       danny wring            6             0         1          0           7            0   0   0
