   year (ceremony)             english title             spanish title                                   director         result
0      1978 (51st)        viva el presidente     el recurso del método                              miguel littín  not nominated
1      1987 (60th)          a successful man        un hombre de éxito                             humberto solás  not nominated
2      1988 (61st)     letters from the park         cartas del parque                       tomás gutiérrez alea  not nominated
3      1989 (62nd)          supporting roles       papeles secundarios                              orlando rojas  not nominated
4      1991 (64th)           hello hemingway           hello hemingway                             fernando perez  not nominated
5      1992 (65th)             adorable lies        adorables mentiras                            gerardo chijona  not nominated
6      1994 (67th)  strawberry and chocolate         fresa y chocolate  tomás gutiérrez alea & juan carlos tabíos        nominee
7      1996 (69th)               think of me  pon tu pensamiento en mí                          arturo sotto díaz  not nominated
8      1997 (70th)             vertical love             amor vertical                          arturo sotto díaz  not nominated
9      2002 (75th)              nothing more                      nada                        juan carlos cremata  not nominated
10     2003 (76th)              suite habana              suite habana                             fernando perez  not nominated
11    2005: (78th)                 viva cuba                 viva cuba                        juan carlos cremata  not nominated
12     2006 (79th)                  el benny                  el benny                         jorge luis sánchez  not nominated
13     2007 (80th)             the silly age      la edad de la peseta                               pavel giroud  not nominated
14     2009 (82nd)               fallen gods          los dioses rotos                            ernesto daranas  not nominated
