    rank mideast  rank asia  rank world               country  2011 gdp (ppp) billions of usd
0              1          6          17                  iran                         930.236
1              2          9          23          saudi arabia                         677.663
2              3         18          48  united arab emirates                         261.189
3              4         19          50                israel                         235.446
4              5         21          55                 qatar                         181.912
5              6         22          58                kuwait                         150.002
6              7         23          60                  iraq                         127.348
7              8         26          66                 syria                         107.803
8              9         29          76                  oman                          81.005
9             10         30          83                 yemen                          63.344
10            11         31          84               lebanon                          61.738
11            12         35          97                jordan                          36.897
12            13         37         104               bahrain                          30.889
