    pick               player    position     nationality                 nhl team                        college / junior / club team
0      1        ed jovanovski     defence          canada         florida panthers                           windsor spitfires ( ohl )
1      2      oleg tverdovsky     defence          russia  mighty ducks of anaheim                             krylja sovetov (russia)
2      3           radek bonk      centre  czech republic          ottawa senators                           las vegas thunder ( ihl )
3      4     jason bonsignore      centre   united states          edmonton oilers                         niagara falls thunder (ohl)
4      5         jeff o'neill      winger          canada         hartford whalers                                  guelph storm (ohl)
5      6           ryan smyth   left wing          canada          edmonton oilers                          moose jaw warriors ( whl )
6      7          jamie storr  goaltender          canada        los angeles kings                            owen sound platers (ohl)
7      8         jason wiemer      centre          canada      tampa bay lightning                         portland winter hawks (whl)
8      9        brett lindros  right wing          canada       new york islanders                           kingston frontenacs (ohl)
9     10    nolan baumgartner     defence          canada      washington capitals                              kamloops blazers (whl)
10    11         jeff friesen   left wing          canada          san jose sharks                                   regina pats (whl)
11    12           wade belak     defence          canada         quebec nordiques                              saskatoon blades (whl)
12    13       mattias ohlund     defence          sweden        vancouver canucks                                   luleå hf (sweden)
13    14         ethan moreau   left wing          canada       chicago blackhawks                         niagara falls thunder (ohl)
14    15  alexander kharlamov  right wing          russia      washington capitals                                cska moscow (russia)
15    16         eric fichaud  goaltender          canada      toronto maple leafs                     chicoutimi saguenéens ( qmjhl )
16    17        wayne primeau      centre          canada           buffalo sabres                            owen sound platers (ohl)
17    18           brad brown     defence          canada       montreal canadiens                         north bay centennials (ohl)
18    19        chris dingman   left wing          canada           calgary flames                           brandon wheat kings (whl)
19    20      jason botterill   left wing          canada             dallas stars                     university of michigan ( ncaa )
20    21    evgeni ryabchikov  goaltender          russia            boston bruins                                 molot perm (russia)
21    22          jeff kealty     defence   united states         quebec nordiques  catholic memorial high school (hs - massachusetts)
22    23       yan golubovsky     defence          russia        detroit red wings                           hc dynamo moscow (russia)
23    24          chris wells      centre          canada      pittsburgh penguins                          seattle thunderbirds (whl)
24    25   vadim sharifijanov   left wing          russia        new jersey devils                                ufa salavat (russia)
25    26         dan cloutier  goaltender          canada         new york rangers                    sault ste marie greyhounds (ohl)
