    series no                              title  directed by                         written by    original air date  production code
0           1                bully and the beast  tyler perry                   kellie r griffin        june 6 , 2007              101
1           2             i can cry if i want to  tyler perry                 michelle l johnson        june 6 , 2007              102
2           3            more than meets the eye  tyler perry                christopher j moore       june 13 , 2007              103
3           4                             busted  tyler perry                      jenee v giles       june 13 , 2007              104
4           5                     lost and found  tyler perry                   carmelita arroyo       june 20 , 2007              105
5           6                    down and outted  tyler perry                christopher j moore       june 20 , 2007              106
6           7            no money , mo' problems  tyler perry                        anita m cal       june 27 , 2007              107
7           8                        just say no  tyler perry         steve coulter & dee wagner       june 27 , 2007              108
8           9                surprise , surprise  tyler perry                   shontell mcclain        july 4 , 2007              109
9          10                  father knows best  tyler perry                     joseph hampton        july 4 , 2007              110
10         11             i keep coming up short  tyler perry                       teri jackson       july 11 , 2007              111
11         12                the buck stops here  tyler perry                   carmelita arroyo       july 11 , 2007              112
12         13                   wax on , wax off  tyler perry                        anita m cal       july 18 , 2007              113
13         14                  head of the class  tyler perry         steve coulter & dee wagner       july 18 , 2007              114
14         15  paternity and fraternity : part 1  tyler perry                   kellie r griffin       july 25 , 2007              115
15         16  paternity and fraternity : part 2  tyler perry                   kellie r griffin       july 25 , 2007              116
16         17            cracking under pressure  tyler perry                     lamont ferrell      august 1 , 2007              117
17         18                           club pcp  tyler perry                   kellie r griffin      august 1 , 2007              118
18         19                     sadly mistaken  tyler perry                       teri jackson      august 8 , 2007              119
19         20                and justice for all  tyler perry                     lamont ferrell      august 8 , 2007              120
20         21                  i got the hook up  tyler perry                       teri jackson     august 15 , 2007              121
21         22                absolutely positive  tyler perry                     joseph hampton     august 15 , 2007              122
22         23                     teacher 's pet  tyler perry                        anita m cal     august 22 , 2007              123
23         24                  the perfect storm  tyler perry                christopher j moore     august 22 , 2007              124
24         25     sad , sad leroy brown : part 1  tyler perry         steve coulter & dee wagner     august 29 , 2007              125
25         26     sad , sad leroy brown : part 2  tyler perry                   kellie r griffin     august 29 , 2007              126
26         27     weeping may endure for a night  tyler perry  kellie r griffin & joseph hampton   september 5 , 2007              127
27         28                       the big test  tyler perry         steve coulter & dee wagner   september 5 , 2007              128
28         29                      balancing act  tyler perry                   kellie r griffin  september 12 , 2007              129
29         30            why can't we be friends  tyler perry         steve coulter & dee wagner  september 12 , 2007              130
30         31                  dog day afternoon  tyler perry                christopher j moore  september 19 , 2007              131
31         32                     new beginnings  tyler perry                   kellie r griffin  september 19 , 2007              132
32         33                      heavy petting  tyler perry                   carmelita arroyo  september 19 , 2007              133
33         34           the fast and the furious  tyler perry                 michelle l johnson  september 19 , 2007              134
34         35                 gone in 60 seconds  tyler perry                       teri jackson  september 26 , 2007              135
35         36                     lost without u  tyler perry                   carmelita arroyo  september 26 , 2007              136
