    total  series                         title            director                   writer (s)   original airdate
0      43       1                      catalyst  christopher hodson                 david butler   4 september 1976
1      44       2  the man with the magic touch  christopher hodson                terence feely  11 september 1976
2      45       3                 the complaint         paul annett                   tony hoare  18 september 1976
3      46       4              the line of duty       paddy russell                 david butler  25 september 1976
4      47       5                       k block        bryan izzard                 david butler     2 october 1976
5      48       6               a way of loving         john gorrie                  john gorrie     9 october 1976
6      49       7         love and the chaplain       paddy russell             kathleen j smith    16 october 1976
7      50       8                   the mystery        bryan izzard                   tony hoare    23 october 1976
8      51       9           a sentence of death        bryan izzard             peter wildeblood    30 october 1976
9      52      10                        vacuum         paul annett                   pj hammond    6 november 1976
10     53      11                      on trial     marek kanievska                  susan pleat   13 november 1976
11     54      12                      visitors       peter moffatt                terence feely   20 november 1976
12     55      13                      transfer  christopher hodson                  tony parker   27 november 1976
13     56      14       someone 's got to do it         mike gibbon  mona bruce and robert james    4 december 1976
14     57      15      islands in the heartline     marek kanievska                  susan pleat   11 december 1976
15     58      16           invasion of privacy           bill bain                 david butler   18 december 1976
16     59      17                  silent night      phillip casson                 david butler   24 december 1976
