               week                   theme                     song choice     original artist  order      result
0          audition    auditioner 's choice               bulletproof weeks      matt nathanson  n / a    advanced
1         hollywood              first solo                 come back to me          david cook  n / a    advanced
2         hollywood             group round                       get ready     the temptations  n / a    advanced
3         hollywood             second solo                    viva la vida            coldplay  n / a  eliminated
4   top 24 (12 men)  billboard hot 100 hits                       apologize         onerepublic      4        safe
5   top 20 (10 men)  billboard hot 100 hits              come on get higher      matt nathanson      9        safe
6    top 16 (8 men)  billboard hot 100 hits                      hallelujah       leonard cohen      3        safe
7            top 12      the rolling stones                  under my thumb  the rolling stones      7    bottom 3
8            top 11        billboard 1 hits  crazy little thing called love               queen      3    bottom 3
9            top 10              r&b / soul                      sweet love         anita baker      5    bottom 3
10            top 9         lennonmccartney                   all my loving         the beatles      6        safe
11            top 9           elvis presley      can't help falling in love       elvis presley      3        safe
