   round                           circuit          date         pole position           fastest lap     winning driver    winning team
0      1                    hockenheimring         1 may        bruno spengler        bruno spengler     bruno spengler        hwa team
1      2            circuit park zandvoort        15 may        bruno spengler     mike rockenfeller  mike rockenfeller  abt sportsline
2      3         red bull ring , spielberg        5 june        martin tomczyk        bruno spengler     martin tomczyk    team phoenix
3      4              eurospeedway lausitz       19 june        bruno spengler         timo scheider     martin tomczyk    team phoenix
4      5             norisring , nuremberg        3 july        bruno spengler           jamie green     bruno spengler        hwa team
5     nc  showevent olympiastadion münchen       16 july  inter - marque races  inter - marque races    edoardo mortara    team rosberg
6     nc  showevent olympiastadion münchen       17 july        knockout races        knockout races     bruno spengler        hwa team
7      6                       nürburgring      7 august       mattias ekström       david coulthard    mattias ekström  abt sportsline
8      7               brands hatch , kent   4 september     mike rockenfeller        martin tomczyk     martin tomczyk    team phoenix
9      8     motorsport arena oschersleben  18 september         miguel molina       mattias ekström    mattias ekström  abt sportsline
10     9  circuit ricardo tormo , valencia     2 october       mattias ekström         timo scheider    mattias ekström  abt sportsline
