    pick          player    position    nationality               nhl team                 college / junior / club team
0    163    marty ketola  right wing  united states    pittsburgh penguins              cloquet high school (ushs - mn)
1    164      bill fordy   left wing         canada       hartford whalers                         guelph platers (ohl)
2    165      jay octeau     defence  united states      new jersey devils         mount st charles academy (ushs - ri)
3    166   dave sikorski     defence  united states      detroit red wings                        cornwall royals (ohl)
4    167  bruce fishback      centre  united states      los angeles kings      white bear lake high school (ushs - mn)
5    168   cliff abrecht     defence         canada    toronto maple leafs                  princeton university (ecac)
6    169    todd flichel     defence         canada          winnipeg jets                   gloucester rangers (cojhl)
7    170  allan measures     defence         canada      vancouver canucks                      calgary wranglers (whl)
8    171      rob kivell     defence         canada         calgary flames                       victoria cougars (whl)
9    172    wayne groulx      centre         canada       quebec nordiques             sault ste marie greyhounds (ohl)
10   173    paul jerrard  right wing         canada       new york rangers                     notre dame hounds (sjhl)
11   174      tim hoover     defence         canada         buffalo sabres             sault ste marie greyhounds (ohl)
12   175      dave cowan   left wing  united states    washington capitals             washburn high school (ushs - mn)
13   176      paul pulis  right wing  united states  minnesota north stars              hibbing high school (ushs - mn)
14   177    kevin vescio     defence         canada     new york islanders                  north bay centennials (ohl)
15   178     grant mckay     defence         canada     montreal canadiens                 university of calgary (ciau)
16   179    brian noonan      centre  united states    chicago black hawks  archbishop williams high school (ushs - ma)
17   180      dave roach  goaltender         canada        edmonton oilers               new westminster royals (bcjhl)
18   181  robbie nichols   left wing         canada    philadelphia flyers                      kitchener rangers (ohl)
19   182   harri laurila     defence        finland          boston bruins                              lahti (finland)
