        week                         theme            song choice                original artist  order    result
0   audition          auditioner 's choice           quando chove                  patricia marx  n / a  advanced
1    theater                    first solo            você chegou                        ls jack  n / a  advanced
2     top 30        semi - final / group 2              uma carta                        ls jack      9  advanced
3     top 10                       my idol       pra rua me levar                   ana carolina      6      safe
4      top 9                female singers           nada por mim                 leila pinheiro      8      safe
5      top 8                    love songs                   anjo                     roupa nova      4      safe
6      top 7                   country pop           como um anjo        césar menotti & fabiano      7  bottom 2
7      top 6                         samba        tarde em itapuã  vinicius de moraes / toquinho      5      safe
8      top 5              birth year songs               olhar 43                            rpm      5      safe
9      top 5              birth year songs                   dona                     roupa nova     10      safe
10     top 4  roberto carlos & elis regina  é preciso saber viver                 roberto carlos      2      safe
11     top 4  roberto carlos & elis regina                romaria                    elis regina      6      safe
12     top 3       jovem pan number 1 hits                  o sol                     jota quest      2      safe
13     top 3       jovem pan number 1 hits       tem que ser você                   victor & leo      5      safe
14     top 3       jovem pan number 1 hits  por mais que eu tente               marjorie estiano      8      safe
15     top 2            winner 's single 1            ficou no ar                 rafael barreto      2    winner
16     top 2          contestant 's choice  you'll be in my heart        phil collins / ed motta      4    winner
