                     metropolitan area  media market ranking  hosted 4 teams since                             nfl team (s)                                mlb team (s)                   nba team (s)               nhl team (s)
0               boston , massachusetts                     7                  1960             patriots ( foxborough , ma )                                     red sox                        celtics                     bruins
1                   chicago , illinois                     3                  1966                                    bears                              cubs white sox                          bulls                 blackhawks
2          dallas - fort worth , texas                     5                  1993               cowboys ( arlington , tx )                  rangers ( arlington , tx )             mavericks (dallas)             stars (dallas)
3                    denver , colorado                    17                  1995                                  broncos                                     rockies                        nuggets                  avalanche
4                   detroit , michigan                    11                  1957                                    lions                                      tigers  pistons ( auburn hills , mi )                  red wings
5                      miami , florida                    16                  1993          dolphins ( miami gardens , fl )                                     marlins                           heat  panthers ( sunrise , fl )
6    minneapolis - st paul , minnesota                    15                  2000                    vikings (minneapolis)                         twins (minneapolis)     timberwolves (minneapolis)             wild (st paul)
7          philadelphia , pennsylvania                     4                  1967                                   eagles                                    phillies                          76ers                     flyers
8                    phoenix , arizona                    13                  1998              cardinals ( glendale , az )                                diamondbacks                           suns  coyotes ( glendale , az )
9  san francisco bay area , california                     6                  1991  49ers (san francisco) raiders (oakland)  giants (san francisco) athletics (oakland)             warriors (oakland)        sharks ( san jose )
