    pick           player    position     nationality               nhl team              college / junior / club team
0    148       paul krake      goalie          canada       quebec nordiques     university of alaska anchorage (ncaa)
1    149       phil huber      center          canada     new york islanders                    kamloops blazers (whl)
2    150   derek langille     defence          canada    toronto maple leafs               north bay centennials (ohl)
3    151        jim solly   left wing          canada          winnipeg jets     bowling green state university (ncaa)
4    152  sergei starikov     defence    soviet union      new jersey devils                        cska moscow (ussr)
5    153      milan tichy     defence  czechoslovakia     chicago blackhawks               prince albert raiders (whl)
6    154        jon pratt   left wing   united states  minnesota north stars           pingree high school (ushs - ma)
7    155     rob sangster   left wing          canada      vancouver canucks                   kitchener rangers (ohl)
8    156     kevin plager  right wing   united states         st louis blues     parkway north high school (ushs - mo)
9    157  raymond saumier  right wing          canada       hartford whalers           trois rivieres draveurs (qmjhl)
10   158        andy suhy     defence   united states      detroit red wings        western michigan university (ncaa)
11   159     sverre sears     defence   united states    philadelphia flyers               princeton university (ncaa)
12   160    greg spenrath     defence          canada       new york rangers                tri - city americans (whl)
13   161     derek plante      centre   united states         buffalo sabres           cloquet high school (ushs - mn)
14   162    darcy martini     defence          canada        edmonton oilers  michigan technological university (ncaa)
15   163      david shute   left wing   united states    pittsburgh penguins                    victoria cougars (whl)
16   164      rick allain     defence          canada          boston bruins                   kitchener rangers (ohl)
17   165       sean whyte  right wing          canada      los angeles kings                      guelph platers (ohl)
18   166     dean holoien  right wing          canada    washington capitals                    saskatoon blades (whl)
19   167   patrick lebeau   left wing          canada     montreal canadiens                    st - jean lynx (qmjhl)
20   168    kevin wortman     defense   united states         calgary flames     american international college (ncaa)
