    no overall  no for series                                  title      directed by      written by  original air date  uk viewers (million)
0           27              1  the tears of uther pendragon (part 1)      jeremy webb    julian jones  11 september 2010                  6.49
1           28              2  the tears of uther pendragon (part 2)      jeremy webb    julian jones  18 september 2010                  6.06
2           29              3                         goblin 's gold      jeremy webb  howard overman  25 september 2010                  6.22
3           30              4                                 gwaine      david moore    julian jones     2 october 2010                  6.42
4           31              5                       the crystal cave  alice troughton    julian jones     9 october 2010                  6.36
5           32              6                         the changeling      david moore    lucy watkins    16 october 2010                  6.40
6           33              7                   the castle of fyrien      david moore     jake michie    23 october 2010                  6.82
7           34              8                 the eye of the phoenix  alice troughton    julian jones    30 october 2010                  6.92
8           35              9            love in the time of dragons  alice troughton     jake michie    6 november 2010                  6.90
9           36             10                        queen of hearts       ashley way  howard overman   13 november 2010                  7.37
10          37             11                 the sorcerer 's shadow       ashley way    julian jones   20 november 2010                  7.42
11          38             12          the coming of arthur (part 1)      jeremy webb     jake michie   27 november 2010                  7.12
