                       subject  no sat  no passed  % pass  highest mark  lowest mark  mean
0                      english      55         46      84           100           37    59
1                  mathematics      55         39      71            83           36    58
2                      biology      17         17     100            85           54    72
3                    chemistry      20         16      80            84           43    64
4                      physics      10          8      80            79           47    63
5                   accounting      35         27      77            75           31    58
6                    economics      35         33      94            88           33    63
7             computer studies      25         19      76            78           35    56
8                    geography       8          7      88            76           45    64
9   introduction to technology       3          3     100            69           50    61
10             food technology       9          9     100            80           50    64
