            tournament            1987            1988            1989            1990            1991            1992            1993            1994            1995            1996            1997            1998            1999            2000            2001            2002            2003            2004            2005
0          grand slams     grand slams     grand slams     grand slams     grand slams     grand slams     grand slams     grand slams     grand slams     grand slams     grand slams     grand slams     grand slams     grand slams     grand slams     grand slams     grand slams     grand slams     grand slams     grand slams
1      australian open               a               a               a               a               a               a               a              1r              1r               a               a               a              2r              qf              2r              2r              qf               a               a
2          french open               a               a               a              3r               a              1r              2r              2r              2r              1r              1r              2r              3r              qf              3r              3r              sf              2r              1r
3            wimbledon               a               a               a              1r               a              1r               a              3r               a              2r              2r              1r              2r              3r               f              qf              sf              2r              1r
4              us open               a               a               a               a               a               a              1r              1r              2r              1r              qf              2r              3r              1r              3r              2r              1r               f               a
5           win - loss           0 - 0           0 - 0           0 - 0           2 - 2           0 - 0           0 - 2           1 - 2           3 - 4           2 - 3           1 - 3           4 - 3           2 - 3           6 - 4           8 - 4          10 - 4           7 - 4          11 - 4           7 - 3           0 - 2
6       masters series  masters series  masters series  masters series  masters series  masters series  masters series  masters series  masters series  masters series  masters series  masters series  masters series  masters series  masters series  masters series  masters series  masters series  masters series  masters series
7         indian wells             nme             nme             nme               a               a               a               a               a               a               a               a               a              qf              1r              1r              2r              sf              1r               a
8                miami             nme             nme             nme               a               a               a               a              1r              3r               a              3r               a              2r              qf               w              2r               f              qf              1r
9          monte carlo             nme             nme             nme              1r               a               a               a              1r              qf              2r               a               a               f              qf              qf              2r              2r               a               a
10                rome             nme             nme             nme              1r               a               a               a               w               a               a               a               a              1r              1r              2r              1r              2r              2r               a
11             hamburg             nme             nme             nme              1r               a               a               a               a               a              qf               a               a              qf              qf              1r              1r              sf              sf               a
12              canada             nme             nme             nme               a               a               a               a              1r               a               a               a               a              1r              1r               w              sf              qf              2r               a
13          cincinnati             nme             nme             nme               a               a               a               a              1r               a               a               a               a              1r              sf              qf              2r              2r               a               a
14  madrid (stuttgart)             nme             nme             nme               a               a               a               a               a               a               a               a               a              2r               w              sf              2r              sf              1r               a
15               paris             nme             nme             nme               a               a               a               a               a               a               a               a               a              1r              2r              2r              1r              1r              1r               a
16          win - loss           n / a           n / a           n / a           0 - 3           0 - 0           0 - 0           0 - 0           5 - 4           4 - 2           3 - 2           1 - 1           0 - 0           9 - 9          13 - 8          16 - 7           7 - 9          11 - 9           7 - 7           0 - 1
17    year end ranking             894             676             220             122             109              71              99              27              49              53              54              43              29              11               7              20              14              23             499
