              dance                   best dancer  best score                     worst dancer  worst score
0   cha - cha - cha                     laila ali          30                  billy ray cyrus           13
1           foxtrot                   joey fatone          30                    leeza gibbons           15
2             mambo                     laila ali          30                john ratzenberger           19
3         quickstep    apolo anton ohno laila ali          30                    clyde drexler           18
4              jive       joey fatone ian ziering          30                    clyde drexler           16
5             tango                   joey fatone          30                john ratzenberger           20
6             waltz                     laila ali          27                    clyde drexler           15
7             rumba    laila ali apolo anton ohno          28                    clyde drexler           13
8        paso doble              apolo anton ohno          30  john ratzenberger leeza gibbons           16
9             samba    apolo anton ohno laila ali          30                john ratzenberger           18
10        freestyle  apolo anton ohno joey fatone          30                        laila ali           26
