    rank                                stadium  capacity          city        country
0      1               melbourne cricket ground    100000     melbourne      australia
1      2                            anz stadium     83500        sydney      australia
2      3                              eden park     60000      auckland    new zealand
3      4                         etihad stadium     56347     melbourne      australia
4      5                        suncorp stadium     52500      brisbane      australia
5      6                           aami stadium     51515      adelaide      australia
6      7                          aloha stadium     50000      honolulu  united states
7      8  queensland sport and athletics centre     48400      brisbane      australia
8      9                  sydney cricket ground     46000        sydney      australia
9     10                sydney football stadium     45500        sydney      australia
10    11                      patersons stadium     43500         perth      australia
11    12                brisbane cricket ground     42000      brisbane      australia
12  = 13                          adelaide oval     36000      adelaide      australia
13  = 13                            ami stadium     36000  christchurch    new zealand
14    15                           princes park     35000     melbourne      australia
15    16                        westpac stadium     34500    wellington    new zealand
16    17          rotorua international stadium     34000       rotorua    new zealand
17    18                kardinia park (stadium)     33500       geelong      australia
18    19                   forsyth barr stadium     30748       dunedin    new zealand
19    20                              aami park     30050     melbourne      australia
20  = 21                      post fiji stadium     30000          suva           fiji
21  = 21                       mt smart stadium     30000      auckland    new zealand
