        outcome               date                        tournament             partner           opponents in the final
0   runner - up    21 october 1973                 new delhi , india      vijay amritraj         jim mcmanus raúl ramírez
1        winner   19 november 1973        christchurch , new zealand         fred mcnair   jürgen fassbender jeff simpson
2        winner   16 november 1974                    bombay , india      vijay amritraj           dick crealy onny parun
3   runner - up     19 august 1974   south orange , new jersey , usa      vijay amritraj     brian gottfried raúl ramírez
4        winner     19 august 1974             columbus , ohio , usa      vijay amritraj           tom gorman robert lutz
5   runner - up   10 february 1975                  toronto , canada      vijay amritraj    dick stockton erik van dillen
6   runner - up      10 march 1975               washington dc , usa      vijay amritraj       mike estep russell simpson
7        winner      24 march 1975           atlanta , georgia , usa      vijay amritraj          mark cox cliff drysdale
8   runner - up      5 august 1975       louisville , kentucky , usa      vijay amritraj     wojtek fibak guillermo vilas
9        winner  15 september 1975    los angeles , california , usa      vijay amritraj     cliff drysdale marty riessen
10  runner - up   17 november 1975                  calcutta , india      vijay amritraj      juan gisbert manuel orantes
11       winner       9 march 1976         memphis , tennessee , usa      vijay amritraj      roscoe tanner marty riessen
12  runner - up    7 november 1976                         hong kong        ilie năstase         hank pfister butch walts
13  runner - up   15 november 1976              manila , philippines  corrado barazzutti          ross case geoff masters
14       winner       13 june 1977  queen 's club , london , england      vijay amritraj           david lloyd john lloyd
15       winner  25 september 1978              mexico city , mexico      vijay amritraj         fred mcnair raúl ramírez
16  runner - up    15 january 1979        baltimore , maryland , usa      cliff drysdale   marty riessen sherwood stewart
17  runner - up      19 march 1979             san jose , costa rica        colin dibley       ion țiriac guillermo vilas
18  runner - up       9 april 1979                     cairo , egypt      vijay amritraj      peter mcnamara paul mcnamee
19  runner - up     13 august 1979             stowe , vermont , usa        colin dibley      mike cahill steve krulevitz
20  runner - up      10 march 1980             san jose , costa rica        nick saviano       jaime fillol alvaro fillol
21  runner - up        14 apr 1980    los angeles , california , usa         john austin        brian teacher butch walts
22       winner        28 apr 1980                são paulo , brazil      fritz buehning         david carter chris lewis
23  runner - up      8 august 1980           atlanta , georgia , usa         john austin        tom gullikson butch walts
24  runner - up       6 april 1981             houston , texas , usa         fred mcnair  mark edmondson sherwood stewart
25  runner - up      3 august 1981             columbus , ohio , usa      vijay amritraj       bruce manson brian teacher
26       winner    1 november 1982        baltimore , maryland , usa      tony giammalva       vijay amritraj fred stolle
27       winner   30 november 1982          chicago , illinois , usa      vijay amritraj         mike cahill bruce manson
28  runner - up   21 february 1983      delray beach , florida , usa         johan kriek          pavel složil tomáš šmíd
29       winner       11 july 1983               stuttgart , germany          mike bauer          pavel složil tomáš šmíd
