   rank            county  % (1960)  % (2000)  % (2040)
0     1              oslo      13.2      11.3      12.8
1     2          akershus       6.3      10.4      11.9
2     3         hordaland       9.4       9.7      10.2
3     4          rogaland       6.6       8.3       9.9
4     5   sør - trøndelag       5.8       5.8       6.0
5     6           østfold       5.6       5.5       5.5
6     7          buskerud       4.6       5.2       5.4
7     8   møre og romsdal       5.9       5.4       4.8
8     9          nordland       6.6       5.3       3.9
9    10          vestfold       4.8       4.7       4.7
10   11           hedmark       4.9       4.1       3.4
11   12           oppland       4.6       4.0       3.3
12   13      vest - agder       3.0       3.4       3.6
13   14          telemark       4.1       3.6       3.0
14   15             troms       3.5       3.3       2.7
15   16  nord - trøndelag       3.2       2.8       2.4
16   17      aust - agder       2.1       2.2       2.3
17   18  sogn og fjordane       2.8       2.4       1.8
18   19          finnmark       2.0       1.6       1.2
19  sum            norway     100.0     100.0     100.0
