    rank               nation  gold  silver  bronze  total
0      1        united states    19      13       7     39
1      2                 cuba     7      11       8     26
2      3               canada     4       7      11     22
3      4               mexico     2       3       3      8
4      5               brazil     2       1       2      5
5      6             colombia     1       0       1      2
6      7                 peru     1       0       0      1
7      7               guyana     1       0       0      1
8      9              bahamas     0       1       1      2
9     10  trinidad and tobago     0       1       0      1
10    11              jamaica     0       0       2      2
11    12             barbados     0       0       1      1
12    12          puerto rico     0       0       1      1
