     res  record           opponent                           method  round  time                                    location
0    win  14 - 4  roxanne modafferi             decision (unanimous)      2  5:00                        koto , tokyo , japan
1   loss  13 - 4        cat zingano                        ko (slam)      3  4:42           denver , colorado , united states
2   loss  13 - 3        tara larosa             decision (unanimous)      5  5:00  atlantic city , new jersey , united states
3   loss  13 - 2      sarah kaufman             decision (unanimous)      5  5:00       san jose , california , united states
4    win  13 - 1     chisa yonezawa  submission (rear - naked choke)      2  1:43                               tokyo , japan
5    win  12 - 1     amanda buckner             decision (unanimous)      3  5:00    los angeles , california , united states
6    win  11 - 1       hitomi akano             decision (unanimous)      3  5:00                               tokyo , japan
7    win  10 - 1        hee jin lee             decision (unanimous)      2  5:00                               tokyo , japan
8    win   9 - 1        sybil starr              submission (armbar)      1  2:47                               tokyo , japan
9    win   8 - 1      miki morifuji             decision (unanimous)      2  5:00                               tokyo , japan
10   win   7 - 1      kinuka sasaki  submission (rear - naked choke)      1  2:31                               tokyo , japan
11   win   6 - 1   kazuma morohoshi             decision (unanimous)      2  5:00                               tokyo , japan
12  loss   5 - 1       hitomi akano              submission (armbar)      1  1:19                               tokyo , japan
13   win   5 - 0             yukari             decision (unanimous)      2  5:00                               tokyo , japan
14   win   4 - 0       yoko hattori             decision (unanimous)      2  5:00                               tokyo , japan
15   win   3 - 0    yumiko sugimoto             decision (unanimous)      2  5:00                               tokyo , japan
16   win   2 - 0       mika harigai  submission (rear - naked choke)      2  4:28                               tokyo , japan
17   win   1 - 0   natsuko kikukawa             decision (unanimous)      2  5:00                               tokyo , japan
