                               chapter                  colonized  chartered                                    school           state          status                           charter range
0                            mu colony                       2013       1900                university of pennsylvania    pennsylvania          colony  1900 - 1997 2001 - 2007 2013 - present
1                 alpha epsilon colony                  1992 2013       1910                  emporia state university          kansas          colony  1910 - 1989 1994 - 2007 2013 - present
2                delta deuteron colony                       2013       1915                    university of michigan        michigan          colony              1915 - 2003 2013 - present
3                   pi deuteron colony                       2011  1925 1946                     ohio state university            ohio          colony  1925 - 1938 1946 - 1978 2011 - present
4                     phi theta colony                       2012       1958                   shippensburg university    pennsylvania          colony              1958 - 2000 2013 - present
5  phi eta colony see also nu pentaton                       2013       1959                        clarion university    pennsylvania          colony              1959 - 2008 2013 - present
6              upsilon teterton colony                       2012       1960         rochester institute of technology        new york          colony              1960 - 2004 2012 - present
7                          uncc colony                       2012      n / a  university of north carolina , charlotte  north carolina          colony                                   n / a
8                  phi septaton colony    planned for spring 2014       2008                          georgia southern         georgia  planned colony                          2008 - present
9             appalachian state colony  estimated for 2014 - 2016      n / a                         appalachian state  north carolina  planned colony                                   n / a
