        nation  gold  silver  bronze  total
0       russia     5       6       2     13
1      belarus     3       1       1      5
2      ukraine     1       2       1      4
3       poland     1       1       2      4
4      armenia     1       0       2      3
5      romania     1       1       0      2
6   azerbaijan     1       0       0      1
7       latvia     1       0       0      1
8        spain     1       0       0      1
9     bulgaria     0       1       3      4
10     moldova     0       1       1      2
11     albania     0       1       0      1
12      france     0       0       2      2
13     hungary     0       0       1      1
14       italy     0       0       1      1
15       total    15      15      15     45
