           district       incumbent       party            first elected                             results                                        candidates
0    pennsylvania 1       bob brady  democratic  may 19 , 1998 (special)                        re - elected        bob brady (d) 81% william harrison (r) 17%
1    pennsylvania 2    chaka fattah  democratic                     1994                        re - elected  chaka fattah (d) 86% anne marie mulligan (r) 14%
2    pennsylvania 3   robert borski  democratic                     1982                        re - elected   robert borski (d) 60% charles dougherty (r) 40%
3    pennsylvania 4       ron klink  democratic                     1992                        re - elected             ron klink (d) 64% mike turzai (r) 36%
4    pennsylvania 6      tim holden  democratic                     1992                        re - elected           tim holden (d) 61% john meckley (r) 39%
5    pennsylvania 7     curt weldon  republican                     1986                        re - elected         curt weldon (r) 72% martin d'urso (d) 28%
6    pennsylvania 8   jim greenwood  republican                     1992                        re - elected        jim greenwood (r) 64% bill tuthill (d) 33%
7    pennsylvania 9     bud shuster  republican                     1972                        re - elected                         bud shuster (r) unopposed
8   pennsylvania 10      joe mcdade  republican                     1962             retired republican hold        don sherwood (r) 49% patrick casey (d) 49%
9   pennsylvania 11  paul kanjorski  democratic                     1984                        re - elected      paul kanjorski (d) 67% stephen urban (r) 33%
10  pennsylvania 12     john murtha  democratic                     1974                        re - elected      john murtha (d) 68% timothy holloway (r) 32%
11  pennsylvania 13       jon d fox  republican                     1994  lost re - election democratic gain             joe hoeffel (d) 52% jon d fox (r) 47%
12  pennsylvania 14   william coyne  democratic                     1980                        re - elected        william coyne (d) 61% bill ravotti (r) 39%
13  pennsylvania 15     paul mchale  democratic                     1992             retired republican gain         pat toomey (r) 55% roy afflerbach (d) 45%
14  pennsylvania 16       joe pitts  republican                     1996                        re - elected          joe pitts (r) 71% robert yorczyk (d) 29%
15  pennsylvania 17    george gekas  republican                     1982                        re - elected                        george gekas (r) unopposed
16  pennsylvania 18      mike doyle  democratic                     1994                        re - elected            mike doyle (d) 68% dick walker (r) 32%
17  pennsylvania 19   bill goodling  republican                     1974                        re - elected          bill goodling (r) 68% linda ropp (d) 29%
18  pennsylvania 20   frank mascara  democratic                     1994                        re - elected                       frank mascara (d) unopposed
