   rank                 nation  gold  silver  bronze  total
0     1          united states    41      27      27     95
1     2                 sweden    19      20      25     64
2     3          great britain    15      15      13     43
3     4                finland    15      10       9     34
4     5  belgium (host nation)    14      11      11     36
5     6                 norway    13       9       9     31
6     7                  italy    13       5       5     23
7     8                 france     9      19      13     41
8     9            netherlands     4       2       5     11
9    10                denmark     3       9       1     13
